轮次,时间,主队红牌,主队名称,主队名次,比分,半场比分,主队红牌,主队名称,主队名次,全场让球,半场让球,全场大小,半场大小
6,2017-09-23 22:15,0,阿拉维斯,19,1-2,1-2,0,皇家马德里,8,半/一,半/一,3/3.5,1.5
6,2017-09-24 00:30,1,马拉加,20,3-3,1-1,0,毕尔巴鄂竞技,10,平手,平手,2/2.5,1
6,2017-09-24 02:45,0,赫罗纳,15,0-3,0-1,0,巴塞罗那,1,半/一,半/一,3/3.5,1.5
6,2017-09-24 18:00,0,西班牙人,15,4-1,2-0,0,拉科鲁尼亚,18,平/半,平/半,2/2.5,1
6,2017-09-24 22:15,0,赫塔菲,14,4-0,0-0,0,比利亚雷亚尔,10,平手,平手,2/2.5,1
6,2017-09-25 00:30,0,拉斯帕尔马斯,12,0-2,0-0,0,雷加利斯,11,平/半,平/半,2/2.5,1
6,2017-09-25 00:30,0,埃瓦尔,13,0-4,0-3,0,塞尔塔,17,平手,平手,2.5,1
6,2017-09-25 02:45,1,皇家社会,7,2-3,1-1,1,巴伦西亚,5,平/半,平/半,2.5,1
6,2017-09-26 03:00,0,皇家贝蒂斯,9,4-0,0-0,0,莱万特,7,平/半,平/半,2/2.5,1
7,2017-09-30 03:00,0,塞尔塔,13,3-3,2-2,0,赫罗纳,17,平/半,平/半,2.5,1
7,2017-09-30 19:00,0,拉科鲁尼亚,18,2-1,0-0,0,赫塔菲,10,平/半,平/半,2.5,1
7,2017-09-30 22:15,0,塞维利亚,3,2-0,0-0,0,马拉加,19,半球,半球,3,1/1.5
7,2017-10-01 00:30,0,莱万特,9,0-2,0-1,0,阿拉维斯,20,平/半,平/半,2/2.5,1
7,2017-10-01 02:45,0,雷加利斯,7,0-0,0-0,0,马德里竞技,2,半球,半球,2/2.5,0.5/1
7,2017-10-01 18:00,0,皇家社会,8,4-4,2-2,0,皇家贝蒂斯,5,平/半,平/半,2.5,1
7,2017-10-01 22:15,0,巴塞罗那,1,3-0,0-0,0,拉斯帕尔马斯,17,一/球半,一/球半,4/4.5,2
7,2017-10-02 00:30,0,巴伦西亚,4,3-2,2-0,0,毕尔巴鄂竞技,12,平/半,平/半,2.5,1
7,2017-10-02 00:30,0,比利亚雷亚尔,14,3-0,1-0,0,埃瓦尔,18,平/半,平/半,2.5,1
7,2017-10-02 02:45,0,皇家马德里,6,2-0,1-0,0,西班牙人,13,一/球半,一/球半,4/4.5,1.5/2
8,2017-10-14 03:00,0,西班牙人,14,0-0,0-0,0,莱万特,10,平/半,平/半,2/2.5,1
8,2017-10-14 19:00,0,毕尔巴鄂竞技,14,1-0,1-0,0,塞维利亚,2,平手,平手,2.5,1
8,2017-10-14 22:15,0,赫塔菲,13,1-2,0-1,0,皇家马德里,5,半/一,半/一,3.5,1.5
8,2017-10-15 00:30,0,阿拉维斯,19,0-2,0-0,0,皇家社会,8,平手,平手,2/2.5,1
8,2017-10-15 02:45,0,马德里竞技,4,1-1,1-0,0,巴塞罗那,1,平/半,平/半,2.5/3,1
