轮次,时间,主队红牌,主队名称,主队名次,比分,半场比分,主队红牌,主队名称,主队名次,全场让球,半场让球,全场大小,半场大小
22,2018-02-04 23:15,0,西班牙人,15,1-1,0-0,0,巴塞罗那,1,半/一,半/一,3/3.5,1/1.5
22,2018-02-05 01:30,0,赫罗纳,11,2-0,1-0,0,毕尔巴鄂竞技,13,平手,平手,2.5,1
22,2018-02-05 03:45,0,马德里竞技,2,1-0,0-0,0,巴伦西亚,3,平/半,平/半,2.5,1
22,2018-02-06 04:00,0,拉斯帕尔马斯,19,1-0,0-0,0,马拉加,20,平手,平手,2.5,1
23,2018-02-10 04:00,0,毕尔巴鄂竞技,13,0-0,0-0,0,拉斯帕尔马斯,19,半球,半球,2.5/3,1/1.5
23,2018-02-10 20:00,0,比利亚雷亚尔,5,1-2,0-1,0,阿拉维斯,16,平/半,平/半,2.5,1
23,2018-02-10 23:15,0,马拉加,20,0-1,0-1,0,马德里竞技,2,平/半,平/半,2/2.5,0.5/1
23,2018-02-11 01:30,1,雷加利斯,12,0-1,0-0,0,埃瓦尔,7,平手,平手,2,0.5/1
23,2018-02-11 03:45,0,皇家马德里,4,5-2,4-0,0,皇家社会,14,一球,一球,4,1.5/2
23,2018-02-11 19:00,0,塞维利亚,7,1-0,0-0,0,赫罗纳,9,半球,半球,2.5/3,1/1.5
23,2018-02-11 23:15,0,巴塞罗那,1,0-0,0-0,0,赫塔菲,11,一/球半,一/球半,4,1.5/2
23,2018-02-12 01:30,0,塞尔塔,8,2-2,1-1,0,西班牙人,15,平/半,平/半,2.5,1
23,2018-02-12 03:45,0,巴伦西亚,4,3-1,1-1,0,莱万特,17,半球,半球,2.5/3,1/1.5
23,2018-02-13 04:00,0,拉科鲁尼亚,19,0-1,0-0,0,皇家贝蒂斯,11,平手,平手,2.5/3,1/1.5
24,2018-02-17 04:00,0,赫罗纳,10,3-0,2-0,0,雷加利斯,12,平/半,平/半,2/2.5,0.5/1
24,2018-02-17 20:00,0,拉斯帕尔马斯,18,1-2,0-1,0,塞维利亚,6,平/半,平/半,2.5/3,1/1.5
24,2018-02-17 23:15,1,埃瓦尔,7,0-2,0-1,0,巴塞罗那,1,半球,半球,3/3.5,1/1.5
24,2018-02-18 01:30,0,阿拉维斯,16,1-0,0-0,0,拉科鲁尼亚,19,平/半,平/半,2/2.5,1
24,2018-02-18 03:45,1,马拉加,20,1-2,1-0,0,巴伦西亚,3,平/半,平/半,2.5,1
24,2018-02-18 19:00,0,皇家社会,15,3-0,2-0,0,莱万特,17,半球,半球,3,1/1.5
24,2018-02-18 23:15,0,马德里竞技,2,2-0,0-0,0,毕尔巴鄂竞技,13,半球,半球,2/2.5,1
24,2018-02-19 01:30,0,西班牙人,16,1-1,0-1,0,比利亚雷亚尔,6,平手,平手,2/2.5,1
24,2018-02-19 03:45,0,皇家贝蒂斯,9,3-5,2-1,0,皇家马德里,4,半/一,半/一,3.5,1.5
24,2018-02-20 04:00,0,赫塔菲,11,3-0,1-0,0,塞尔塔,10,平手,平手,2.5,1
25,2018-02-24 04:00,0,拉科鲁尼亚,19,0-0,0-0,0,西班牙人,16,平手,平手,2/2.5,1
25,2018-02-24 20:00,0,塞尔塔,11,2-0,0-0,0,埃瓦尔,7,平/半,平/半,2.5,1
25,2018-02-24 23:15,0,皇家马德里,3,4-0,1-0,0,阿拉维斯,16,一/球半,一/球半,3.5/4,1.5/2
25,2018-02-25 01:30,0,雷加利斯,13,0-0,0-0,0,拉斯帕尔马斯,19,平/半,平/半,2/2.5,1
25,2018-02-25 03:45,0,巴塞罗那,1,6-1,4-1,0,赫罗纳,8,一球,一球,3.5/4,1.5
25,2018-02-25 19:00,0,比利亚雷亚尔,6,1-0,1-0,0,赫塔菲,10,平/半,平/半,2.5,1
25,2018-02-25 23:15,0,毕尔巴鄂竞技,14,2-1,2-1,1,马拉加,20,平/半,平/半,2/2.5,1
25,2018-02-26 01:30,0,巴伦西亚,4,2-1,1-0,0,皇家社会,13,平/半,平/半,3,1/1.5
25,2018-02-26 03:45,0,塞维利亚,5,2-5,0-2,0,马德里竞技,2,平手,平手,2/2.5,1
25,2018-02-27 04:00,0,莱万特,17,0-2,0-0,0,皇家贝蒂斯,11,平手,平手,2/2.5,1
26,2018-02-28 03:00,0,西班牙人,15,1-0,0-0,0,皇家马德里,3,半球,半球,3,1/1.5
26,2018-02-28 04:30,0,赫罗纳,10,1-0,1-0,0,塞尔塔,8,平/半,平/半,2.5,1
26,2018-03-01 02:30,0,马拉加,20,0-1,0-1,0,塞维利亚,6,平/半,平/半,2.5,1
26,2018-03-01 02:30,0,赫塔菲,11,3-0,2-0,0,拉科鲁尼亚,19,平/半,平/半,2/2.5,1
26,2018-03-01 02:30,0,毕尔巴鄂竞技,12,1-1,0-1,0,巴伦西亚,4,平手,平手,2.5,1
26,2018-03-01 04:30,0,马德里竞技,2,4-0,2-0,0,雷加利斯,14,半球,半球,2/2.5,1
26,2018-03-01 04:30,0,埃瓦尔,10,1-0,1-0,0,比利亚雷亚尔,5,平/半,平/半,2.5,1
26,2018-03-02 02:30,0,皇家贝蒂斯,10,0-0,0-0,0,皇家社会,15,平手,平手,3,1/1.5
26,2018-03-02 04:00,0,拉斯帕尔马斯,18,1-1,0-1,0,巴塞罗那,1,半/一,半/一,3.5,1.5
26,2018-03-02 04:30,1,阿拉维斯,16,1-0,0-0,1,莱万特,17,平/半,平/半,2/2.5,1
27,2018-03-03 20:00,0,比利亚雷亚尔,6,0-2,0-1,0,赫罗纳,8,平/半,平/半,2.5,1
27,2018-03-03 23:15,0,塞维利亚,5,2-0,2-0,0,毕尔巴鄂竞技,12,平/半,平/半,2.5,1
27,2018-03-04 01:30,1,拉科鲁尼亚,19,1-1,1-1,0,埃瓦尔,7,平手,平手,2.5,1
27,2018-03-04 01:30,0,雷加利斯,16,2-0,0-0,0,马拉加,20,平/半,平/半,2,0.5/1
27,2018-03-04 03:45,0,皇家马德里,3,3-1,2-0,1,赫塔菲,10,一球,一球,3.5,1.5
27,2018-03-04 19:00,0,莱万特,17,1-1,0-0,0,西班牙人,14,平手,平手,2/2.5,1
27,2018-03-04 23:15,0,巴塞罗那,1,1-0,1-0,0,马德里竞技,2,平/半,平/半,2.5/3,1
27,2018-03-05 01:30,0,皇家社会,16,2-1,2-1,0,阿拉维斯,15,平/半,平/半,2.5/3,1/1.5
27,2018-03-05 03:45,0,巴伦西亚,4,2-0,1-0,0,皇家贝蒂斯,9,半球,半球,3/3.5,1/1.5
27,2018-03-06 04:00,0,塞尔塔,11,2-1,0-0,0,拉斯帕尔马斯,18,半球,半球,3,1/1.5
28,2018-03-10 04:00,0,赫罗纳,7,2-0,1-0,0,拉科鲁尼亚,19,平/半,平/半,2.5,1
28,2018-03-10 20:00,0,埃瓦尔,8,1-2,0-1,0,皇家马德里,3,半球,半球,3/3.5,1/1.5
28,2018-03-10 23:15,0,塞维利亚,5,0-2,0-1,0,巴伦西亚,4,平/半,平/半,2.5/3,1/1.5
28,2018-03-11 01:30,0,赫塔菲,11,0-1,0-0,0,莱万特,17,平/半,平/半,2/2.5,1
28,2018-03-11 03:45,1,马拉加,20,0-2,0-2,0,巴塞罗那,1,半/一,半/一,3.5,1.5
28,2018-03-11 19:00,0,西班牙人,15,2-1,0-1,0,皇家社会,12,平手,平手,2.5,1
28,2018-03-11 23:15,0,马德里竞技,2,3-0,1-0,0,塞尔塔,9,半球,半球,2.5,1
28,2018-03-12 01:30,1,拉斯帕尔马斯,18,0-2,0-0,0,比利亚雷亚尔,7,平/半,平/半,2.5/3,1
28,2018-03-12 03:45,0,毕尔巴鄂竞技,15,2-0,2-0,0,雷加利斯,14,平/半,平/半,2/2.5,0.5/1
28,2018-03-13 04:00,0,阿拉维斯,16,1-3,0-2,0,皇家贝蒂斯,10,平/半,平/半,2.5,1
29,2018-03-17 04:00,0,莱万特,17,2-1,1-0,0,埃瓦尔,9,平手,平手,2/2.5,1
29,2018-03-17 20:00,0,拉科鲁尼亚,19,1-1,1-1,0,拉斯帕尔马斯,18,平/半,平/半,2.5/3,1/1.5
29,2018-03-17 23:15,0,巴伦西亚,4,3-1,2-0,0,阿拉维斯,16,半球,半球,2.5/3,1
29,2018-03-18 01:30,0,皇家社会,14,1-2,1-1,0,赫塔菲,11,平/半,平/半,2.5,1
29,2018-03-18 03:45,0,皇家贝蒂斯,8,3-0,1-0,0,西班牙人,13,平手,平手,2.5,1
29,2018-03-18 19:00,0,雷加利斯,15,2-1,1-0,1,塞维利亚,5,平手,平手,2/2.5,1
29,2018-03-18 23:15,0,巴塞罗那,1,2-0,2-0,0,毕尔巴鄂竞技,12,一球,一球,3.5,1.5
29,2018-03-19 01:30,0,塞尔塔,11,0-0,0-0,0,马拉加,20,半球,半球,2.5/3,1
29,2018-03-19 01:30,0,比利亚雷亚尔,6,2-1,0-1,1,马德里竞技,2,平/半,平/半,2/2.5,0.5/1
29,2018-03-19 03:45,0,皇家马德里,4,6-3,1-1,0,赫罗纳,7,一球,一球,3.5/4,1.5
30,2018-03-31 19:00,0,赫罗纳,7,1-1,0-0,0,莱万特,17,平/半,平/半,2.5,1
30,2018-03-31 22:15,0,毕尔巴鄂竞技,13,1-1,0-0,0,塞尔塔,10,平手,平手,2.5,1
30,2018-04-01 00:30,0,拉斯帕尔马斯,18,0-3,0-2,0,皇家马德里,3,半/一,半/一,3.5,1.5
30,2018-04-01 02:45,0,塞维利亚,6,2-2,1-0,0,巴塞罗那,1,平/半,平/半,3/3.5,1/1.5
30,2018-04-01 18:00,0,西班牙人,14,0-0,0-0,0,阿拉维斯,16,平/半,平/半,2/2.5,0.5/1
30,2018-04-01 22:15,0,雷加利斯,13,0-1,0-0,0,巴伦西亚,4,平/半,平/半,2/2.5,1
30,2018-04-02 00:30,0,马拉加,20,1-0,1-0,0,比利亚雷亚尔,5,平手,平手,2/2.5,0.5/1
30,2018-04-02 00:30,0,埃瓦尔,11,0-0,0-0,0,皇家社会,15,平手,平手,2.5/3,1
30,2018-04-02 02:45,0,马德里竞技,2,1-0,1-0,0,拉科鲁尼亚,19,半/一,半/一,2.5/3,1/1.5
30,2018-04-03 03:00,0,赫塔菲,11,0-1,0-0,0,皇家贝蒂斯,8,平/半,平/半,2/2.5,1
31,2018-04-07 03:00,0,拉科鲁尼亚,19,3-2,1-1,0,马拉加,20,平/半,平/半,2.5,1
31,2018-04-07 19:00,0,阿拉维斯,16,2-0,0-0,0,赫塔菲,11,平手,平手,2/2.5,0.5/1
31,2018-04-07 22:15,0,塞尔塔,9,4-0,1-0,0,塞维利亚,7,平手,平手,2.5/3,1
31,2018-04-08 00:30,0,皇家贝蒂斯,6,2-0,1-0,0,埃瓦尔,10,平手,平手,2.5,1
31,2018-04-08 02:45,0,巴塞罗那,1,3-1,2-0,0,雷加利斯,14,一球,一球,3.5,1.5
31,2018-04-08 18:00,1,莱万特,17,2-1,1-0,0,拉斯帕尔马斯,19,平/半,平/半,2/2.5,1
31,2018-04-08 22:15,0,皇家马德里,3,1-1,0-0,0,马德里竞技,2,平/半,平/半,2.5/3,1
31,2018-04-09 00:30,0,皇家社会,16,5-0,2-0,0,赫罗纳,8,平/半,平/半,2.5/3,1
31,2018-04-09 02:45,0,巴伦西亚,4,1-0,1-0,0,西班牙人,13,半球,半球,2.5,1
31,2018-04-10 03:00,1,比利亚雷亚尔,6,1-3,0-1,0,毕尔巴鄂竞技,13,平/半,平/半,2.5,1
32,2018-04-14 03:00,0,赫罗纳,8,0-1,0-1,0,皇家贝蒂斯,5,平/半,平/半,2.5,1
32,2018-04-14 19:00,1,塞维利亚,7,2-2,0-1,1,比利亚雷亚尔,6,平/半,平/半,2.5/3,1
32,2018-04-14 22:15,0,巴塞罗那,1,2-1,1-0,0,巴伦西亚,3,半/一,半/一,3.5/4,1.5
32,2018-04-15 00:30,0,拉斯帕尔马斯,19,0-1,0-1,0,皇家社会,13,平/半,平/半,2.5/3,1
32,2018-04-15 00:30,0,雷加利斯,15,1-0,0-0,0,塞尔塔,9,平手,平手,2/2.5,0.5/1
32,2018-04-15 02:45,0,毕尔巴鄂竞技,12,2-3,0-2,0,拉科鲁尼亚,18,平/半,平/半,2.5,1
32,2018-04-15 18:00,0,埃瓦尔,10,0-1,0-1,0,阿拉维斯,16,平/半,平/半,2/2.5,0.5/1
32,2018-04-15 22:15,0,马德里竞技,2,3-0,1-0,0,莱万特,17,半/一,半/一,2.5/3,1
32,2018-04-16 00:30,1,赫塔菲,11,1-0,0-0,0,西班牙人,14,平/半,平/半,2,0.5/1
32,2018-04-16 02:45,0,马拉加,20,1-2,0-1,0,皇家马德里,4,半/一,半/一,3/3.5,1/1.5
33,2018-04-18 01:30,0,拉科鲁尼亚,18,0-0,0-0,0,塞维利亚,7,平手,平手,2.5,1
33,2018-04-18 03:00,0,塞尔塔,9,2-2,1-1,1,巴塞罗那,1,半球,半球,3,1/1.5
33,2018-04-18 03:30,0,比利亚雷亚尔,6,2-1,1-0,0,雷加利斯,14,平/半,平/半,2.5,1
33,2018-04-19 01:30,1,巴伦西亚,4,1-2,0-1,0,赫塔菲,10,半球,半球,2.5/3,1
33,2018-04-19 01:30,0,西班牙人,16,0-1,0-1,0,埃瓦尔,12,平手,平手,2/2.5,0.5/1
33,2018-04-19 03:30,0,皇家马德里,3,1-1,0-1,0,毕尔巴鄂竞技,13,半/一,半/一,3.5/4,1.5
33,2018-04-20 01:30,0,皇家社会,12,3-0,1-0,0,马德里竞技,2,平/半,平/半,2/2.5,1
33,2018-04-20 01:30,0,阿拉维斯,15,1-2,0-0,0,赫罗纳,10,平手,平手,2/2.5,1
33,2018-04-20 03:30,0,皇家贝蒂斯,5,1-0,0-0,1,拉斯帕尔马斯,19,平/半,平/半,2.5/3,1/1.5
33,2018-04-20 03:30,0,莱万特,17,1-0,0-0,0,马拉加,20,平/半,平/半,2/2.5,1
34,2018-04-21 03:00,0,雷加利斯,14,0-0,0-0,0,拉科鲁尼亚,18,平手,平手,2/2.5,1
34,2018-04-21 19:00,0,埃瓦尔,12,0-1,0-1,0,赫塔菲,9,平/半,平/半,2/2.5,0.5/1
34,2018-04-21 22:15,0,塞尔塔,10,1-1,0-0,0,巴伦西亚,4,平手,平手,2.5/3,1
34,2018-04-22 18:00,0,赫罗纳,9,0-2,0-1,0,西班牙人,16,平/半,平/半,2/2.5,1
34,2018-04-22 22:15,0,马拉加,20,2-0,2-0,0,皇家社会,11,平/半,平/半,2.5,1
34,2018-04-23 00:30,0,拉斯帕尔马斯,19,0-4,0-0,0,阿拉维斯,15,平手,平手,2/2.5,1
34,2018-04-23 02:45,0,马德里竞技,2,0-0,0-0,0,皇家贝蒂斯,5,半球,半球,2.5,1
34,2018-04-24 03:00,0,毕尔巴鄂竞技,14,1-3,1-2,0,莱万特,17,平/半,平/半,2/2.5,1
34,2018-05-10 02:00,0,巴塞罗那,1,5-1,3-0,0,比利亚雷亚尔,6,半/一,半/一,3.5,1.5
34,2018-05-10 03:30,0,塞维利亚,8,3-2,2-0,0,皇家马德里,3,平/半,平/半,3/3.5,1.5
35,2018-04-28 03:00,0,莱万特,17,2-1,1-1,0,塞维利亚,8,平手,平手,2.5,1
35,2018-04-28 19:00,0,西班牙人,17,1-1,0-1,0,拉斯帕尔马斯,19,半球,半球,2/2.5,1
35,2018-04-28 22:15,1,皇家社会,11,3-1,2-0,0,毕尔巴鄂竞技,14,平/半,平/半,2.5,1
35,2018-04-29 00:30,0,皇家马德里,3,2-1,2-0,1,雷加利斯,15,半/一,半/一,3/3.5,1.5
35,2018-04-29 02:45,0,比利亚雷亚尔,6,4-1,3-1,0,塞尔塔,10,平/半,平/半,2.5,1
35,2018-04-29 18:00,1,赫塔菲,7,1-1,1-1,0,赫罗纳,9,平/半,平/半,2/2.5,0.5/1
35,2018-04-29 22:15,0,阿拉维斯,13,0-1,0-0,1,马德里竞技,2,平/半,平/半,2/2.5,0.5/1
35,2018-04-30 00:30,0,巴伦西亚,4,0-0,0-0,0,埃瓦尔,12,半球,半球,2.5/3,1
35,2018-04-30 02:45,0,拉科鲁尼亚,18,2-4,1-2,0,巴塞罗那,1,半球,半球,3,1/1.5
35,2018-05-01 03:00,0,皇家贝蒂斯,5,2-1,1-1,0,马拉加,20,半球,半球,2.5/3,1
36,2018-05-05 03:00,0,塞维利亚,9,1-0,0-0,0,皇家社会,10,平/半,平/半,2.5/3,1/1.5
36,2018-05-05 19:00,0,赫罗纳,9,1-4,0-2,0,埃瓦尔,12,平/半,平/半,2.5,1
36,2018-05-05 22:15,0,毕尔巴鄂竞技,14,2-0,0-0,0,皇家贝蒂斯,5,平/半,平/半,2.5,1
36,2018-05-06 00:30,0,塞尔塔,11,1-1,1-0,0,拉科鲁尼亚,18,平/半,平/半,2.5/3,1
36,2018-05-06 02:45,0,比利亚雷亚尔,6,1-0,0-0,0,巴伦西亚,4,平手,平手,2.5,1
36,2018-05-06 18:00,0,马拉加,20,0-3,0-1,0,阿拉维斯,14,平手,平手,2.5,1
36,2018-05-06 22:15,0,马德里竞技,2,0-2,0-0,0,西班牙人,15,半球,半球,2.5,1
36,2018-05-07 00:30,0,拉斯帕尔马斯,19,0-1,0-0,0,赫塔菲,8,平/半,平/半,2.5,1
36,2018-05-07 02:45,1,巴塞罗那,1,2-2,1-1,0,皇家马德里,3,平/半,平/半,3/3.5,1/1.5
36,2018-05-08 03:00,1,雷加利斯,16,0-3,0-0,0,莱万特,17,平手,平手,2/2.5,0.5/1
37,2018-05-12 22:15,0,皇家社会,11,3-2,2-1,0,雷加利斯,17,平/半,平/半,2.5/3,1
37,2018-05-13 00:30,0,赫塔菲,8,0-1,0-1,0,马德里竞技,2,平手,平手,2/2.5,0.5/1
37,2018-05-13 00:30,0,赫罗纳,9,0-1,0-0,0,巴伦西亚,4,平手,平手,2.5/3,1/1.5
37,2018-05-13 00:30,0,阿拉维斯,13,3-1,1-0,0,毕尔巴鄂竞技,14,平手,平手,2/2.5,1
37,2018-05-13 00:30,0,皇家贝蒂斯,5,2-2,1-0,0,塞维利亚,7,平手,平手,2.5/3,1/1.5
37,2018-05-13 00:30,0,拉科鲁尼亚,18,2-4,0-3,0,比利亚雷亚尔,6,平/半,平/半,2.5/3,1/1.5
37,2018-05-13 00:30,0,埃瓦尔,10,1-0,1-0,0,拉斯帕尔马斯,19,半球,半球,2.5/3,1/1.5
37,2018-05-13 02:45,0,皇家马德里,3,6-0,3-0,0,塞尔塔,12,半/一,半/一,3.5/4,1.5
37,2018-05-13 22:15,0,西班牙人,15,4-1,3-1,0,马拉加,20,平/半,平/半,2.5,1
37,2018-05-14 02:45,0,莱万特,16,5-4,2-1,0,巴塞罗那,1,半球,半球,3/3.5,1.5
38,2018-05-19 19:00,0,塞尔塔,13,4-2,2-1,0,莱万特,15,平/半,平/半,3,1/1.5
38,2018-05-19 22:15,1,雷加利斯,17,3-2,1-1,0,皇家贝蒂斯,6,平手,平手,2.5/3,1
38,2018-05-20 00:30,0,马拉加,20,0-1,0-0,0,赫塔菲,8,平手,平手,2.5,1
38,2018-05-20 00:30,0,塞维利亚,7,1-0,1-0,0,阿拉维斯,12,半球,半球,3,1/1.5
38,2018-05-20 00:30,0,拉斯帕尔马斯,19,1-2,1-2,0,赫罗纳,11,平手,平手,2.5/3,1/1.5
38,2018-05-20 02:45,0,比利亚雷亚尔,5,2-2,0-2,0,皇家马德里,3,平手,平手,3.5/4,1.5
38,2018-05-20 18:00,0,巴伦西亚,4,2-1,1-0,0,拉科鲁尼亚,18,半球,半球,3/3.5,1/1.5
38,2018-05-20 22:15,0,毕尔巴鄂竞技,16,0-1,0-1,0,西班牙人,14,平/半,平/半,2.5,1
38,2018-05-21 00:30,1,马德里竞技,2,2-2,1-1,0,埃瓦尔,10,平/半,平/半,2.5,1
38,2018-05-21 02:45,0,巴塞罗那,1,1-0,0-0,0,皇家社会,11,半/一,半/一,4,1.5/2
