赛季,球员ID,球员,球队ID,出场,替补,出场总时长,运动战进球,点球,总进球数,射门,射正,被侵犯次数,最佳球员次数,评分
2016-2017,27159,G.卡斯特罗,102,30,8,1851,1,0,1,31,13,25,0,199.26
2016-2017,27162,莱昂,131,37,3,3010,9,1,10,85,38,33,7,263.67
2016-2017,27283,苏塞塔,92,26,15,1103,1,0,1,16,4,35,1,174.04
2016-2017,27287,艾泰美,991,11,3,849,0,0,0,5,2,3,0,68.03
2016-2017,28061,卡路士马天尼斯,106,10,0,870,0,0,0,1,0,5,0,71.95
2016-2017,28538,加西亚,991,22,5,1644,1,0,1,10,3,16,0,146.6
2016-2017,28686,巴利祖,91,36,0,3195,2,3,5,50,22,79,3,257.36
2016-2017,28717,阿森霍,107,24,0,2105,0,0,0,0,0,5,1,165.66
2016-2017,28801,桑切斯,100,26,1,2281,1,0,1,10,2,23,1,183.11
2016-2017,28803,布茨克斯,84,33,0,2693,0,0,0,4,0,31,0,230.91
2016-2017,28823,伊图拉斯佩,92,24,12,1151,0,0,0,4,1,12,0,154.94
2016-2017,28881,A.干沙里斯,102,27,8,1535,2,5,7,43,20,22,0,178.57
2016-2017,28979,皮亚蒂,100,30,0,2351,9,1,10,40,18,62,2,211.16
2016-2017,29027,凯科,102,21,9,993,0,0,0,16,4,31,1,136.43
2016-2017,29033,巴伦齐亚加,92,33,0,2905,1,0,1,10,1,25,1,222.37
2016-2017,29034,阿德里安·洛佩斯,93,15,8,675,2,0,2,10,4,7,0,97.77
2016-2017,29271,泰顿,93,13,1,1124,0,0,0,0,0,2,0,85.53
2016-2017,30366,阿尔巴,84,26,5,1965,1,0,1,6,0,13,0,179.14
2016-2017,30367,P.迪奥普,100,18,9,898,0,0,0,4,0,11,0,114.41
2016-2017,30417,W.梅巴拉克,137,11,1,869,1,0,1,17,5,19,0,73.73
2016-2017,30477,莫莫,991,23,11,1242,2,1,3,12,5,30,0,151.7
2016-2017,30635,J.奥马,992,15,4,974,0,0,0,14,1,9,0,100.17
2016-2017,31317,恩松齐,86,35,1,3066,2,0,2,32,12,31,1,249.63
2016-2017,31797,费尔南德斯,107,15,1,1315,0,0,0,0,0,3,1,103.59
2016-2017,31866,M.柯古斯圖,109,3,1,142,0,0,0,0,0,4,0,20.61
2016-2017,34695,图兰,84,18,4,1244,3,0,3,14,4,18,0,128.33
2016-2017,35563,卡里索,86,6,0,454,0,0,0,0,0,1,0,38.3
2016-2017,36798,纳瓦斯,82,27,0,2430,0,0,0,0,0,4,1,184.09
2016-2017,39418,安赫尔,131,3,0,270,0,0,0,1,0,1,1,22.86
2016-2017,40851,科隆.德里,86,2,0,172,0,0,0,3,0,0,0,13.33
2016-2017,40861,沃斯,114,32,3,2394,3,0,3,41,13,42,0,217.91
2016-2017,48835,卡纳莱斯,106,30,23,991,0,0,0,19,5,6,1,193.6
2016-2017,49459,干贵士,131,28,2,2087,3,0,3,44,20,42,0,190.82
2016-2017,50550,奥雷利亚纳,91,23,4,1667,3,0,3,26,12,24,2,154.66
2016-2017,56882,米切尔,991,25,1,2086,0,0,0,10,0,31,0,162.75
2016-2017,58186,大衛.索里亞,86,1,0,90,0,0,0,0,0,0,0,7.01
2016-2017,58193,胡安.卡洛斯,102,28,5,2064,2,0,2,15,7,40,0,192.35
2016-2017,59451,扎扎,91,20,5,1376,6,0,6,60,17,13,0,134.82
2016-2017,60320,博维达,92,19,1,1559,0,0,0,2,0,12,0,131.74
2016-2017,62151,博格斯,93,34,4,2723,4,2,6,41,10,29,2,238.55
2016-2017,62348,佩雷斯,992,30,4,2335,0,0,0,19,4,42,2,205.67
2016-2017,62490,戈丁,109,31,1,2706,3,0,3,29,7,32,2,224.02
2016-2017,65481,索里亚诺,107,33,2,2489,9,0,9,39,21,46,3,230.48
2016-2017,66806,拉瓜迪亚,137,26,2,2149,2,0,2,10,3,13,0,179.49
2016-2017,66812,穆尼亚因,92,35,7,2414,7,0,7,41,18,83,4,244
2016-2017,66823,罗伯托,102,4,1,307,0,0,0,0,0,0,0,25.43
2016-2017,66841,丰塔斯,114,17,0,1509,1,0,1,3,1,5,0,113.82
2016-2017,67413,特尔施特根,84,36,0,3240,0,0,0,0,0,4,0,247.08
2016-2017,67427,科克,109,36,0,3184,4,0,4,27,10,56,1,258.3
2016-2017,67909,西德内,93,29,0,2491,1,0,1,13,1,12,0,194.01
2016-2017,67937,圣何塞,92,35,5,2744,4,0,4,27,10,16,0,238.78
2016-2017,67959,鲁伊斯,107,28,1,2454,1,0,1,6,1,9,0,192.1
2016-2017,68640,贝奥夫,992,13,8,652,1,0,1,19,4,18,1,84.32
2016-2017,68880,索華斯,992,16,0,1393,1,0,1,9,3,7,0,112.12
2016-2017,70105,J.盧比斯,100,19,2,1524,0,0,0,1,0,20,1,126.47
2016-2017,70113,詹米,106,34,15,1865,11,0,11,48,16,20,0,216.31
2016-2017,70222,普拉达,93,21,4,1557,3,0,3,10,4,14,1,144.84
2016-2017,70306,科拉克,93,32,3,2476,3,0,3,42,13,66,1,219.9
2016-2017,70311,劳尔-加西亚,992,18,3,1357,0,0,0,3,0,9,0,104.78
2016-2017,71969,D.羅傑斯,137,16,2,1171,0,0,0,6,0,10,0,106.93
2016-2017,72044,R.庫基亞,96,18,4,1278,2,0,2,7,5,10,1,117.26
2016-2017,74079,盖坦,109,23,12,1023,3,0,3,10,6,27,0,156.4
2016-2017,74187,G·默卡多,86,29,3,2188,3,0,3,13,6,16,1,187.56
2016-2017,74345,内雷奥.尚帕格尼,992,4,0,360,0,0,0,0,0,0,0,26.11
2016-2017,74608,卡巴拉,114,25,0,2179,2,0,2,19,6,15,2,170.04
2016-2017,74830,巴斯克斯,86,30,4,2092,7,0,7,53,20,73,2,210.04
2016-2017,75406,劳尔.纳瓦斯,106,32,1,2801,1,0,1,25,5,11,0,219.75
2016-2017,75433,阿斯帕斯,114,32,7,2346,15,4,19,78,26,52,6,227.27
2016-2017,75438,奥特里诺,131,25,3,2162,0,0,0,0,0,1,1,168.32
2016-2017,75500,阿尔卡塞尔,84,21,14,938,6,0,6,27,16,7,1,141.2
2016-2017,77906,威廉.达席尔瓦,106,28,1,2079,9,3,12,69,21,35,2,193.88
2016-2017,78082,西莱森,84,2,0,180,0,0,0,0,0,0,0,12.12
2016-2017,78168,巴卡姆布,107,26,9,1570,11,0,11,48,25,28,2,177.27
2016-2017,78255,佩雷斯,100,32,12,1794,3,0,3,27,7,28,0,211.25
2016-2017,78262,马里奥,107,36,0,3240,0,0,0,32,11,16,1,254.37
2016-2017,78266,比比,131,18,10,683,3,0,3,22,9,5,1,116.44
2016-2017,78351,B.耶德威萨姆,86,31,11,1669,10,1,11,44,23,12,2,202.58
2016-2017,78367,埃斯库德罗,86,26,1,2281,0,0,0,33,11,42,2,187.21
2016-2017,78414,索郎姆杜萨,106,31,2,2516,3,0,3,25,8,45,1,215.15
2016-2017,78416,格列兹曼,109,36,0,3068,16,0,16,87,41,33,4,265.4
2016-2017,78474,萨维奇,109,32,2,2757,1,0,1,3,1,15,0,224.79
2016-2017,78668,福萨里科,109,14,3,923,0,0,0,3,0,8,0,97.84
2016-2017,78731,罗德里戈,91,19,2,1396,5,0,5,31,8,17,0,128.79
2016-2017,78841,伊拜·戈麦斯,137,29,6,1845,5,0,5,51,21,14,3,197.54
2016-2017,78906,伊斯科,82,30,12,1637,10,0,10,32,15,41,5,217.38
2016-2017,78918,伊利亚拉门迪,106,34,1,3004,1,0,1,19,4,52,4,248.29
2016-2017,79037,乌姆蒂蒂,84,25,1,2133,1,0,1,6,2,20,0,175.08
2016-2017,79088,圭德蒂,114,23,9,1069,3,1,4,19,9,16,0,144.7
2016-2017,79108,圣索内,107,32,7,2125,7,1,8,46,19,39,1,211.89
2016-2017,79115,瓦拉内,82,23,0,1928,1,0,1,11,2,6,0,161.19
2016-2017,79262,布拉萨纳奇,992,25,6,1648,1,0,1,15,3,22,1,161.02
2016-2017,79276,科瓦西奇,82,27,8,1688,1,0,1,14,5,37,1,191.78
2016-2017,79636,隆卡里亚,114,32,2,2726,2,0,2,19,5,30,1,218.05
2016-2017,80292,阿尔瓦罗,107,25,3,2063,1,0,1,9,2,19,1,166.82
2016-2017,80737,纳乔,82,28,4,2301,2,0,2,8,5,23,0,195.97
2016-2017,80917,甘索,86,10,5,485,2,0,2,11,6,6,1,66.65
2016-2017,82014,S.罗伯托,84,32,6,2382,0,0,0,16,4,22,0,224.41
2016-2017,82787,P·埃尔南德斯,114,26,6,1931,1,0,1,13,3,39,1,176.99
2016-2017,84488,杜阿尔特,100,14,1,1123,0,0,0,6,0,2,0,90.57
2016-2017,84545,普朗纳斯,982,11,0,947,0,0,0,2,0,7,1,76.59
2016-2017,84547,蒙托亚,91,28,3,2131,2,0,2,9,3,29,1,194.77
2016-2017,84832,萨拉比亚,86,34,12,2133,7,1,8,43,22,45,2,236.18
2016-2017,86292,A.卡塔伊,137,20,12,770,3,0,3,22,7,12,0,132.3
2016-2017,86419,古希美,93,30,4,2281,2,0,2,29,6,41,0,203.32
2016-2017,87683,法尔,98,24,10,1248,0,0,0,20,8,22,0,153.16
2016-2017,87914,卢纳,103,26,2,2117,1,0,1,3,1,21,2,181.77
2016-2017,87960,F.卡斯特罗,131,19,4,1405,2,0,2,17,5,11,0,127.78
2016-2017,88044,迪涅,84,17,3,1175,0,0,0,5,1,7,0,118.07
2016-2017,88524,卡西利亚,82,11,0,990,0,0,0,0,0,0,0,74.16
2016-2017,89577,路易辛霍,93,26,6,1906,0,0,0,12,0,28,1,174.64
2016-2017,89714,埃切塔,92,10,3,711,0,0,0,2,1,4,0,66.07
2016-2017,89761,帕尔多,106,19,2,1432,1,0,1,17,7,8,0,126.56
2016-2017,89780,伊尼戈,106,34,0,3016,3,0,3,40,9,29,2,233.09
2016-2017,89797,查尔斯,131,21,10,1136,3,0,3,39,15,24,0,135.5
2016-2017,89818,米克尔.里科,92,17,13,467,1,0,1,10,2,9,0,107.16
2016-2017,89849,奎克,131,24,6,1537,7,0,7,25,18,36,0,160.96
2016-2017,89854,D.占美尼斯,96,1,0,90,0,0,0,0,0,0,0,6.3
2016-2017,89856,加里多,93,23,3,1907,0,0,0,14,3,23,0,155.36
2016-2017,89857,R.迪圖,992,23,2,1876,0,0,0,7,0,16,0,151.34
2016-2017,89968,萨沃里特,92,9,4,460,0,0,0,5,2,4,0,56.95
2016-2017,90277,韦拉,991,31,1,2590,3,4,7,66,27,80,2,221.82
2016-2017,90339,拉菲尼亚,84,18,4,1078,6,0,6,25,9,29,1,129.05
2016-2017,90426,切里舍夫,107,10,8,334,0,0,0,7,1,4,0,62.22
2016-2017,90528,高美斯,114,24,3,1931,0,0,0,3,1,3,0,157.78
2016-2017,90559,霍尔达,107,31,1,2681,1,0,1,9,4,44,2,217.37
2016-2017,90605,A.曼迪,96,26,1,2216,2,0,2,13,7,10,0,175.11
2016-2017,90684,塞尔吉,131,38,7,2828,11,0,11,64,26,48,2,261.42
2016-2017,90690,比达尔,84,7,1,565,2,0,2,11,5,6,0,50.84
2016-2017,90834,A.瓦斯克斯,100,10,8,340,0,0,0,5,1,3,0,62.41
2016-2017,91156,勒内,131,9,2,683,0,0,0,4,0,3,1,61.58
2016-2017,91759,卡塞米罗,82,25,5,1707,4,0,4,15,4,45,1,179.13
2016-2017,92369,马洛,114,23,1,1988,2,0,2,13,5,11,1,154.83
2016-2017,92396,J.戈麦斯,991,29,1,2321,2,0,2,23,10,66,1,195.25
2016-2017,92455,阿尔比拉,131,22,5,1573,0,0,0,9,2,10,0,153.15
2016-2017,92994,托施卡,96,17,0,1503,0,0,0,3,0,11,0,112.89
2016-2017,93352,山度士,137,20,12,828,2,1,3,21,9,6,1,128.66
2016-2017,94049,凯文.罗德里格斯,106,2,1,103,0,0,0,3,1,2,0,12.25
2016-2017,94805,M. 科尼,992,5,4,169,0,0,0,3,1,4,0,30.82
2016-2017,94832,D.苏亚雷斯,84,26,14,1181,1,0,1,14,7,12,0,171.06
2016-2017,95054,维托洛,991,30,5,2334,6,0,6,31,13,77,1,211.68
2016-2017,96160,加维斯,131,19,5,1328,0,0,0,5,2,11,0,128.56
2016-2017,96536,特里格罗斯,107,37,2,3043,5,0,5,45,19,47,3,259.48
2016-2017,96658,般奴加馬,93,22,4,1452,0,0,0,27,7,52,0,144.46
2016-2017,97209,萨乌尔,109,33,4,2544,4,0,4,47,14,31,4,241.42
2016-2017,99273,阿里扎巴拉加,92,23,0,2016,0,0,0,0,0,4,0,150.77
2016-2017,99591,奥布拉克,109,30,0,2651,0,0,0,0,0,3,0,199.26
2016-2017,100640,布埃桑,92,21,0,1890,0,0,0,0,0,1,0,136.61
2016-2017,101261,卡瓦哈尔,82,23,2,2014,0,0,0,9,3,21,0,166.32
2016-2017,101428,Z.费迪拿,96,27,0,2308,2,0,2,11,4,11,1,186.99
2016-2017,101546,高波域,992,24,2,1875,2,0,2,18,5,10,1,161.47
2016-2017,102405,雷西奥,102,20,2,1455,2,1,3,13,7,23,0,120.44
2016-2017,102795,卡里斯,93,23,7,1408,1,0,1,17,6,34,0,149.98
2016-2017,102835,鲁本.杜阿尔特,137,3,2,101,0,0,0,0,0,0,0,18.77
2016-2017,103005,莱昂纳多,100,21,5,1428,6,0,6,34,21,42,1,145.37
2016-2017,103121,胡安弗兰,93,34,0,2962,0,0,0,24,6,46,1,233.7
2016-2017,103410,卡拉斯科,109,35,8,2287,10,0,10,84,33,49,3,245.15
2016-2017,103608,比耶托,109,20,6,1308,6,0,6,30,8,13,1,133.81
2016-2017,103673,奥托,114,29,6,2206,0,0,0,13,3,16,0,195.59
2016-2017,103738,M.古里路,992,30,5,2146,4,1,5,43,16,28,0,192.13
2016-2017,103750,施文诺夫斯基,992,28,4,2040,7,1,8,42,17,29,3,189.79
2016-2017,103845,多斯桑托斯,992,11,3,761,0,0,0,3,0,4,0,69.73
2016-2017,104034,卡斯特拉诺,991,7,7,123,0,0,0,0,0,3,0,43.32
2016-2017,104035,卡斯特拉诺,991,27,2,2110,0,0,0,9,3,36,4,187.35
2016-2017,104037,埃尔南,991,10,7,299,0,0,0,6,0,8,0,58.76
2016-2017,104042,利佐安,991,13,0,1170,0,0,0,0,0,6,0,83.17
2016-2017,104050,索布里诺,137,11,6,501,2,0,2,12,5,15,1,72.82
2016-2017,104055,卢卡斯,82,32,20,1384,2,0,2,30,11,48,0,219.27
2016-2017,104227,伊利,137,10,2,788,1,0,1,8,1,6,0,67.84
2016-2017,104684,瓦利,93,6,5,201,0,0,0,5,1,6,0,36.89
2016-2017,105141,斯科尔斯拉多亚,114,31,4,2420,1,0,1,9,3,27,2,210.4
2016-2017,105194,J·科里亚,86,24,8,1399,4,0,4,34,13,47,2,161.1
2016-2017,105263,皮里斯,992,34,1,2753,5,0,5,57,18,65,2,235.43
2016-2017,105402,加亚,91,27,3,2090,1,0,1,14,6,23,1,187.74
2016-2017,105750,戈麦斯,84,30,13,1590,3,0,3,19,6,15,0,199.47
2016-2017,107726,哈里洛维奇,991,18,12,644,0,0,0,17,7,8,0,116.71
2016-2017,108899,O.罗梅罗,137,13,9,528,0,0,0,24,10,21,1,87.7
2016-2017,109241,莫兰,992,12,1,953,0,0,0,4,1,6,0,78.66
2016-2017,109244,拉波尔特,92,33,0,2910,2,0,2,17,6,34,2,229.15
2016-2017,110043,巴拉古尔诺,100,37,0,3280,13,0,13,82,33,47,6,266.85
2016-2017,110071,塞尔吉奥,86,35,0,3150,0,0,0,0,0,1,2,237.49
2016-2017,110296,S.米拿,91,29,16,1402,6,0,6,31,14,33,2,190.44
2016-2017,110479,扎卡里亚,93,16,15,273,1,0,1,6,0,11,0,100.06
2016-2017,111527,布兰科,114,12,0,1080,0,0,0,0,0,0,0,82.85
2016-2017,111780,鲁宾彭拿,131,27,18,1049,1,0,1,22,6,14,0,168.65
2016-2017,112357,鲁本.维佐,91,19,1,1570,0,0,0,7,3,8,0,122.03
2016-2017,112363,A.科雷亚,109,31,21,1211,4,0,4,37,16,15,0,210.25
2016-2017,114354,席思图,114,29,10,1666,3,0,3,29,13,44,0,193.92
2016-2017,114953,F.卡塔比亚,93,4,2,152,0,0,0,2,0,1,0,25.12
2016-2017,114983,罗伯特,91,5,4,168,2,0,2,8,1,5,1,34.4
2016-2017,115066,卡帕,131,31,2,2568,0,0,0,9,2,24,0,212.96
2016-2017,115206,桑纳比亚,96,22,6,1493,3,0,3,36,9,22,1,144.34
2016-2017,115224,吉梅内斯,109,16,4,1011,0,0,0,13,6,20,2,115.11
2016-2017,115239,塞尔吉,114,7,4,259,1,0,1,9,3,0,0,44.35
2016-2017,115410,佩雷斯,93,1,0,90,0,1,1,3,1,2,0,8.21
2016-2017,115411,S.桑切斯,103,11,6,528,0,0,0,8,1,9,0,71.93
2016-2017,115498,J.桑切斯,114,18,6,1094,2,0,2,16,7,14,0,118.01
2016-2017,115915,比加斯,991,32,1,2654,4,0,4,18,7,30,1,219.61
2016-2017,116001,L.靴南迪斯,102,18,0,1589,1,0,1,3,3,6,0,125.92
2016-2017,116072,塞尔吉奥.莱昂,96,33,6,2402,9,1,10,72,33,31,1,213.42
2016-2017,116147,鲁尔艾宾图萨,93,27,1,2363,1,0,1,10,4,7,0,179.14
2016-2017,116163,M.加西亚,137,20,1,1652,2,1,3,23,6,40,3,140.82
2016-2017,116208,B.卡布雷拉,98,16,1,1331,1,0,1,3,0,4,1,109.55
2016-2017,116557,利奥斯,106,25,2,2051,2,0,2,9,5,16,0,170.52
2016-2017,116561,帕切科,137,36,0,3240,0,0,0,0,0,4,3,247
2016-2017,116572,蒙塔纳,991,22,9,1296,0,0,0,7,1,10,0,138.44
2016-2017,117764,多梅内克桑切斯,91,3,0,270,0,0,0,0,0,1,0,20.62
2016-2017,117850,卢卡斯.埃尔南德斯,109,15,2,1253,0,0,0,1,0,11,0,105.18
2016-2017,117852,D.里扎,96,27,0,2388,1,0,1,22,4,31,2,181.73
2016-2017,118540,D.里戈,992,25,0,2222,1,0,1,16,3,33,1,174.03
2016-2017,118871,卡马拉沙,96,31,3,2507,3,0,3,32,8,28,0,201.14
2016-2017,119080,德马科斯,92,27,3,2149,1,0,1,10,3,13,0,181.8
2016-2017,119133,雷拉,96,9,9,170,0,0,0,1,0,7,0,52.94
2016-2017,119159,F.瑞卡,102,21,2,1621,0,0,0,11,1,23,0,141.05
2016-2017,119231,萨尔杜亚,992,14,2,1105,0,0,0,6,1,17,1,93.37
2016-2017,119326,卡洛斯,137,19,9,958,0,0,0,2,0,6,0,120.87
2016-2017,119535,彭拿兰达,102,3,2,171,0,0,0,0,0,4,0,18.29
2016-2017,119973,阿森西奥,82,23,12,1077,3,0,3,26,11,13,0,156.98
2016-2017,121118,哈达迪,84,34,12,2095,6,0,6,48,16,45,2,228.68
2016-2017,121854,梅内德斯,102,24,9,1247,1,1,2,31,9,23,0,153.45
2016-2017,122038,梅德兰,137,15,5,947,2,0,2,13,3,10,0,96.74
2016-2017,123669,马科斯略伦特,82,33,1,2895,0,0,0,14,1,35,3,236.65
2016-2017,123884,塞巴洛斯,82,30,6,2335,2,0,2,37,16,116,4,218.64
2016-2017,123962,U.布斯蒂萨,992,22,1,1791,0,0,0,14,3,18,0,148.6
2016-2017,124016,G.鲁利,106,38,0,3420,0,0,0,0,0,7,1,252.39
2016-2017,124208,祖兰,992,13,0,1110,0,0,0,1,0,0,0,83.6
2016-2017,124220,F.弗罗林,93,37,5,2900,12,0,12,100,42,36,2,250.17
2016-2017,124247,D.卡利路,131,36,0,3189,1,0,1,19,3,31,2,246.14
2016-2017,124449,卡斯蒂里奥,107,8,0,678,1,0,1,8,3,26,2,59.26
2016-2017,124473,托马斯·帕尔特伊,109,15,9,628,1,0,1,7,2,4,0,101.61
2016-2017,124609,阿哥斯塔,102,22,6,1473,2,0,2,41,11,42,1,146.21
2016-2017,125072,高美思,107,12,1,912,0,0,0,7,3,2,0,78.32
2016-2017,125561,朗列特,86,17,2,1359,0,0,0,1,1,8,0,116.17
2016-2017,126545,沃尔特蒙托亚,86,4,3,110,0,0,0,2,0,5,0,24.8
2016-2017,127137,马丁.曼多瓦尼,992,31,1,2698,1,0,1,15,3,45,0,210.31
2016-2017,127155,G.埃斯卡兰特,131,30,6,2055,2,0,2,24,6,22,0,198.63
2016-2017,128540,艾路斯度,106,9,5,525,0,0,0,4,0,1,0,56.04
2016-2017,128575,哈维尔.埃拉索,992,7,3,377,0,0,0,5,0,3,0,43.17
2016-2017,128673,I.威廉士,92,38,7,2800,5,0,5,67,30,55,1,258.3
2016-2017,129002,L.苏亚雷斯,107,3,3,15,0,0,0,1,0,1,0,17.97
2016-2017,129086,大卫.西蒙,991,16,2,1321,0,0,0,11,5,10,0,107.3
2016-2017,132802,塔纳,991,33,7,2301,4,0,4,25,9,40,1,218.5
2016-2017,134111,米克尔贝斯加,92,22,3,1651,1,0,1,12,2,23,0,149.7
2016-2017,135238,伊尼戈,92,24,7,1529,2,0,2,19,5,11,1,162.89
2016-2017,135239,萨宾.梅里诺,92,12,7,436,1,0,1,16,4,5,0,77.52
2016-2017,135858,A.莫雷诺,103,25,10,1435,3,0,3,45,20,54,1,163.57
2016-2017,136179,耶雷,92,26,1,2270,0,0,0,13,2,27,1,186.69
2016-2017,137380,布尔吉,137,32,11,1997,2,0,2,51,23,57,2,214.74
2016-2017,138465,巴勃罗,107,32,1,2674,6,0,6,41,10,36,1,216.48
2016-2017,138885,米克尔奥耶查,106,38,8,2727,2,0,2,57,17,50,1,252.52
2016-2017,139294,J.奧迪維羅斯,102,18,11,826,2,0,2,23,1,6,0,120.58
2016-2017,139473,N.吉尔,91,1,1,2,0,0,0,0,0,1,0,6
2016-2017,139749,纳诺,131,6,5,158,1,0,1,7,3,3,0,36.95
2016-2017,139935,菲比安,96,4,1,154,0,0,0,1,0,0,0,25.62
2016-2017,140325,L.毛里西奥,991,34,3,2745,6,0,6,30,16,9,0,233.16
2016-2017,140601,特奥,82,33,2,2816,1,0,1,26,7,55,4,231.33
2016-2017,141298,乔恩·包蒂斯塔,106,12,10,302,3,0,3,13,3,2,0,77.17
2016-2017,142006,C.巴拉甘,91,23,4,1769,3,0,3,28,13,33,1,152.81
2016-2017,142848,伊戈尔·祖比迪亚,106,6,1,434,0,0,0,4,0,3,0,39.09
2016-2017,143534,雷斯波朗科,102,3,3,31,0,0,0,0,0,0,0,18.71
2016-2017,143727,阿尔瓦罗·奥德里奥佐拉,106,15,0,1285,0,0,0,1,0,13,1,98.34
2016-2017,145960,罗德里戈·埃尔南德斯,107,21,13,834,0,0,0,8,1,13,1,139.65
2016-2017,146205,马克.罗,100,25,11,1319,0,0,0,13,2,11,0,161.91
2016-2017,146362,I.比利亚尔,114,1,0,90,0,0,0,0,0,0,0,5.53
2016-2017,146749,N.约瑟夫,102,13,13,323,1,0,1,15,7,1,1,81.6
2016-2017,147849,马克尔,131,1,1,45,0,0,0,0,0,0,0,6.62
2016-2017,149997,梅内多,100,11,9,299,0,0,0,1,0,10,0,67.37
2016-2017,150668,马科斯纳瓦罗,100,12,2,789,2,0,2,16,3,12,2,83.54
赛季,球员ID,球员,球队ID,出场,替补,出场总时长,运动战进球,点球,总进球数,射门,射正,被侵犯次数,最佳球员次数,评分
2017-2018,1354,弗拉米尼,98,8,2,511,0,0,0,1,1,1,0,50.14
2017-2018,1631,皮克,84,30,1,2633,2,0,2,18,5,12,1,215.36
2017-2018,1634,C.罗纳尔多,82,27,0,2298,23,3,26,177,77,18,7,214.87
2017-2018,2053,D.莫雷诺,100,37,0,3330,1,0,1,14,6,25,1,254.41
2017-2018,2065,鲁本,93,28,1,2477,0,0,0,0,0,5,1,176.35
2017-2018,2072,纳瓦罗,93,15,4,1042,0,0,0,0,0,12,0,98.72
2017-2018,2081,伊涅斯塔,84,30,5,1848,1,0,1,16,6,41,0,206.14
2017-2018,2150,华金,96,35,6,2487,4,0,4,32,13,40,5,244.11
2017-2018,2162,D.洛佩斯,100,10,0,854,0,0,0,0,0,1,1,67.44
2017-2018,2163,胡安弗兰,109,17,2,1308,0,0,0,3,0,9,0,114.81
2017-2018,2183,莫亚,106,9,0,765,0,0,0,0,0,0,0,61.82
2017-2018,2186,拉米斯,131,16,1,1304,3,0,3,14,7,9,1,112
2017-2018,2205,乌纳姆诺,131,1,0,90,0,0,0,0,0,0,0,7.34
2017-2018,2244,F.加比,109,35,10,2365,0,0,0,10,1,22,1,238.22
2017-2018,2297,阿奎拉尼,991,21,6,1298,0,0,0,12,4,14,0,135.92
2017-2018,2419,弗恩特,100,33,19,1626,2,0,2,38,17,35,1,214.07
2017-2018,2426,奎利亚尔,992,35,0,3150,0,0,0,0,0,7,0,232.14
2017-2018,2435,莫里内罗,98,10,5,575,0,0,0,4,0,6,0,64.64
2017-2018,2464,德尔加多,137,28,3,2183,1,0,1,13,3,14,0,181.89
2017-2018,2538,纳瓦斯,86,25,5,1760,1,0,1,21,5,24,2,166.12
2017-2018,4821,博内拉,107,15,1,1250,0,0,0,2,0,11,0,100.29
2017-2018,4834,威尔马伦,84,14,2,1018,0,0,0,3,2,3,0,94.31
2017-2018,8061,阿杜里茨,92,32,11,2102,6,3,9,60,28,39,1,213.96
2017-2018,8570,蒙塔里,93,8,2,408,0,0,0,4,1,7,0,50.95
2017-2018,8608,帕齐尼,103,9,4,474,1,0,1,10,4,11,0,55.3
2017-2018,12839,马丁内兹,107,28,5,1882,0,0,0,7,2,35,1,179.45
2017-2018,13638,伊赖索斯,982,9,1,764,0,0,0,0,0,0,0,58.38
2017-2018,13725,卢卡维纳,107,17,3,1269,0,0,0,2,0,3,0,111.09
2017-2018,17667,马塞罗·加莱,91,24,1,2030,0,0,0,6,1,15,0,160.83
2017-2018,17690,罗萨莱斯,102,35,0,3125,1,0,1,18,6,22,3,240.91
2017-2018,22082,帕雷哈,86,5,0,406,0,0,0,3,0,2,0,34.73
2017-2018,23978,巴拉甘,96,29,1,2377,0,0,0,9,4,19,3,196.08
2017-2018,24060,托雷斯,109,27,20,966,5,0,5,30,13,23,1,174.55
2017-2018,24067,梅西,84,36,4,2996,32,2,34,196,96,80,22,311.49
2017-2018,24079,R.加西亚,92,34,4,2636,7,3,10,80,34,73,1,241.23
2017-2018,24104,S.拉莫斯,82,26,0,2295,2,2,4,28,14,20,0,184.16
2017-2018,24106,塞尔吉奥,114,16,1,1385,0,0,0,0,0,5,2,104.03
2017-2018,24124,阿戈拉特,106,26,2,1941,2,1,3,16,10,32,1,177.51
2017-2018,24334,P.洛佩斯,103,21,3,1596,0,0,0,3,0,29,0,137.23
2017-2018,24366,本泽马,82,32,7,2156,3,2,5,63,18,11,1,224.44
2017-2018,24574,R.马丁,96,10,7,354,0,1,1,9,5,5,0,62.63
2017-2018,24893,胡拉多,100,29,9,1507,0,0,0,13,2,34,0,185.84
2017-2018,25054,瓜尔达多,96,29,4,2265,1,1,2,33,9,39,1,199.39
2017-2018,25358,莫德里奇,82,25,2,1958,1,0,1,34,8,30,0,183.34
2017-2018,25932,贝尔,82,26,6,1803,15,1,16,76,33,16,6,195.64
2017-2018,26019,菲利佩·路易斯,109,20,1,1661,1,0,1,5,2,27,2,148.7
2017-2018,26119,阿丹,96,29,0,2610,0,0,0,0,0,3,1,188.94
2017-2018,26120,托里斯,102,8,0,676,0,0,0,3,1,0,0,53.52
2017-2018,26124,贝尼亚特,92,24,12,1115,0,0,0,13,3,15,1,157.47
2017-2018,26253,雷米,98,23,11,1290,7,1,8,42,22,19,1,152.22
2017-2018,26290,埃尔扎尔,992,30,10,1981,2,0,2,45,14,35,0,196.77
2017-2018,26358,马塞洛,82,28,2,2264,2,0,2,33,9,42,1,198.75
2017-2018,26641,B.马基尔,98,18,0,1469,4,0,4,16,9,19,0,121.95
