赛季,排名,球队名称,球队ID,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2013-2014,6,皇家社会,106,19,11,4,4,38,19,19,0.579,0.211,0.211,2.0,1.0,37
2013-2014,7,比利亚雷亚尔,107,19,9,6,4,36,21,15,0.474,0.316,0.211,1.89,1.11,33
2013-2014,8,巴伦西亚,91,19,10,3,6,35,24,11,0.526,0.158,0.316,1.84,1.26,33
2013-2014,9,瓦拉多利德,123,19,6,9,4,20,17,3,0.316,0.474,0.211,1.05,0.89,27
2013-2014,10,莱万特,103,19,7,6,6,19,16,3,0.368,0.316,0.316,1.0,0.84,27
2013-2014,11,马拉加,102,19,8,2,9,24,21,3,0.421,0.105,0.474,1.26,1.11,26
2013-2014,12,西班牙人,100,19,7,5,7,23,22,1,0.368,0.263,0.368,1.21,1.16,26
2013-2014,13,艾尔切,126,19,6,8,5,13,12,1,0.316,0.421,0.263,0.68,0.63,26
2013-2014,14,塞尔塔,114,19,6,7,6,23,23,0,0.316,0.368,0.316,1.21,1.21,25
2013-2014,15,赫塔菲,98,19,6,6,7,20,24,-4,0.316,0.316,0.368,1.05,1.26,24
2013-2014,16,阿尔梅里亚,141,19,6,6,7,26,31,-5,0.316,0.316,0.368,1.37,1.63,24
2013-2014,17,巴列卡诺,994,19,8,0,11,28,36,-8,0.421,0.0,0.579,1.47,1.89,24
2013-2014,18,奥萨苏纳,94,19,6,5,8,20,25,-5,0.316,0.263,0.421,1.05,1.32,23
2013-2014,19,格拉那达,121,19,7,1,11,18,22,-4,0.368,0.053,0.579,0.95,1.16,22
2013-2014,20,皇家贝蒂斯,96,19,5,3,11,19,31,-12,0.263,0.158,0.579,1.0,1.63,18
赛季,排名,球队名称,球队ID,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2014-2015,1,皇家马德里,82,19,16,2,1,65,15,50,0.842,0.105,0.053,3.42,0.79,50
2014-2015,2,巴塞罗那,84,19,16,1,2,64,11,53,0.842,0.053,0.105,3.37,0.58,49
2014-2015,3,巴伦西亚,91,19,15,3,1,42,10,32,0.789,0.158,0.053,2.21,0.53,48
2014-2015,4,马德里竞技,109,19,14,3,2,42,11,31,0.737,0.158,0.105,2.21,0.58,45
2014-2015,5,塞维利亚,86,19,13,5,1,38,13,25,0.684,0.263,0.053,2.0,0.68,44
2014-2015,6,比利亚雷亚尔,107,19,12,1,6,29,17,12,0.632,0.053,0.316,1.53,0.89,37
2014-2015,7,皇家社会,106,19,9,5,5,29,21,8,0.474,0.263,0.263,1.53,1.11,32
2014-2015,8,毕尔巴鄂竞技,92,19,8,6,5,28,20,8,0.421,0.316,0.263,1.47,1.05,30
2014-2015,9,马拉加,102,19,8,6,5,26,20,6,0.421,0.316,0.263,1.37,1.05,30
2014-2015,10,西班牙人,100,19,8,6,5,23,19,4,0.421,0.316,0.263,1.21,1.0,30
2014-2015,11,塞尔塔,114,19,8,5,6,30,22,8,0.421,0.263,0.316,1.58,1.16,29
2014-2015,12,巴列卡诺,994,19,8,2,9,26,26,0,0.421,0.105,0.474,1.37,1.37,26
2014-2015,13,莱万特,103,19,6,6,7,20,30,-10,0.316,0.316,0.368,1.05,1.58,24
2014-2015,14,赫塔菲,98,19,6,5,8,16,22,-6,0.316,0.263,0.421,0.84,1.16,23
2014-2015,15,格拉那达,121,19,4,10,5,13,17,-4,0.211,0.526,0.263,0.68,0.89,22
2014-2015,16,拉科鲁尼亚,93,19,5,6,8,22,30,-8,0.263,0.316,0.421,1.16,1.58,21
2014-2015,17,艾尔切,126,19,6,3,10,19,31,-12,0.316,0.158,0.526,1.0,1.63,21
2014-2015,18,埃瓦尔,131,19,5,3,11,20,29,-9,0.263,0.158,0.579,1.05,1.53,18
2014-2015,19,阿尔梅里亚,141,19,3,7,9,20,28,-8,0.158,0.368,0.474,1.05,1.47,16
2014-2015,20,科尔多瓦,146,19,1,6,12,12,33,-21,0.053,0.316,0.632,0.63,1.74,9
赛季,排名,球队名称,球队ID,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2015-2016,1,皇家马德里,82,19,16,1,2,70,16,54,0.842,0.053,0.105,3.68,0.84,49
2015-2016,2,巴塞罗那,84,19,16,1,2,67,14,53,0.842,0.053,0.105,3.53,0.74,49
2015-2016,3,马德里竞技,109,19,15,3,1,33,7,26,0.789,0.158,0.053,1.74,0.37,48
2015-2016,4,塞维利亚,86,19,14,1,4,38,21,17,0.737,0.053,0.211,2.0,1.11,43
2015-2016,5,比利亚雷亚尔,107,19,12,4,3,26,12,14,0.632,0.211,0.158,1.37,0.63,40
2015-2016,6,毕尔巴鄂竞技,92,19,11,4,4,35,17,18,0.579,0.211,0.211,1.84,0.89,37
2015-2016,7,塞尔塔,114,19,9,6,4,29,25,4,0.474,0.316,0.211,1.53,1.32,33
2015-2016,8,西班牙人,100,19,9,5,5,22,28,-6,0.474,0.263,0.263,1.16,1.47,32
2015-2016,9,马拉加,102,19,8,6,5,26,15,11,0.421,0.316,0.263,1.37,0.79,30
2015-2016,10,拉斯帕尔马斯,991,19,8,5,6,25,17,8,0.421,0.263,0.316,1.32,0.89,29
2015-2016,11,埃瓦尔,131,19,8,5,6,26,22,4,0.421,0.263,0.316,1.37,1.16,29
2015-2016,12,巴列卡诺,994,19,8,4,7,29,29,0,0.421,0.211,0.368,1.53,1.53,28
2015-2016,13,皇家社会,106,19,7,5,7,22,20,2,0.368,0.263,0.368,1.16,1.05,26
2015-2016,14,莱万特,103,19,7,5,7,23,26,-3,0.368,0.263,0.368,1.21,1.37,26
2015-2016,15,赫塔菲,98,19,6,7,6,23,20,3,0.316,0.368,0.316,1.21,1.05,25
2015-2016,16,巴伦西亚,91,19,6,7,6,25,23,2,0.316,0.368,0.316,1.32,1.21,25
2015-2016,17,希洪竞技,113,19,7,4,8,28,28,0,0.368,0.211,0.421,1.47,1.47,25
2015-2016,18,皇家贝蒂斯,96,19,6,6,7,17,23,-6,0.316,0.316,0.368,0.89,1.21,24
2015-2016,19,格拉那达,121,19,6,5,8,26,31,-5,0.316,0.263,0.421,1.37,1.63,23
2015-2016,20,拉科鲁尼亚,93,19,4,8,7,25,34,-9,0.211,0.421,0.368,1.32,1.79,20
赛季,排名,球队名称,球队ID,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2016-2017,1,巴塞罗那,84,19,15,3,1,64,17,47,0.789,0.158,0.053,3.37,0.89,48
2016-2017,2,皇家马德里,82,19,14,4,1,48,20,28,0.737,0.211,0.053,2.53,1.05,46
2016-2017,3,塞维利亚,86,19,14,4,1,39,16,23,0.737,0.211,0.053,2.05,0.84,46
2016-2017,4,马德里竞技,109,19,14,2,3,40,14,26,0.737,0.105,0.158,2.11,0.74,44
2016-2017,5,毕尔巴鄂竞技,92,19,13,4,2,36,18,18,0.684,0.211,0.105,1.89,0.95,43
2016-2017,6,比利亚雷亚尔,107,19,11,4,4,35,18,17,0.579,0.211,0.211,1.84,0.95,37
