赛季,轮次,时间,主队红牌数,主队名称,主队ID,主队上轮名次,比分,半场比分,客队红牌数,客队名称,客队ID,客队上轮名次
2005-2006,2,2005-09-12 01:00,0,皇家社会,106,20,2-1,2-0,0,阿拉维斯,137,9
2005-2006,2,2005-09-12 01:00,0,桑坦德竞技,104,15,0-1,0-0,0,卡迪斯,143,13
2005-2006,2,2005-09-12 01:00,1,比利亚雷亚尔,107,13,1-1,0-1,0,塞维利亚,86,6
2005-2006,2,2005-09-12 03:00,0,萨拉戈萨,111,11,2-2,2-1,0,巴伦西亚,91,6
2005-2006,2,2005-09-12 03:00,0,马拉加,102,18,1-2,0-1,1,西班牙人,100,19
2005-2006,3,2005-09-18 02:00,1,巴伦西亚,91,6,2-2,0-1,1,拉科鲁尼亚,93,2
2005-2006,3,2005-09-18 04:00,0,马洛卡,101,20,5-2,1-2,0,皇家社会,106,13
2005-2006,3,2005-09-18 23:00,1,奥萨苏纳,94,9,1-0,0-0,1,塞维利亚,86,7
2005-2006,3,2005-09-18 23:00,0,卡迪斯,143,9,1-1,1-1,0,比利亚雷亚尔,107,15
2005-2006,3,2005-09-18 23:00,0,塞尔塔,114,1,0-1,0-0,0,桑坦德竞技,104,18
2005-2006,3,2005-09-18 23:00,0,阿拉维斯,137,16,3-4,2-3,0,赫塔菲,98,4
2005-2006,3,2005-09-18 23:00,0,毕尔巴鄂竞技,92,3,1-2,0-0,0,马拉加,102,19
2005-2006,3,2005-09-18 23:59,0,皇家贝蒂斯,96,11,0-0,0-0,0,萨拉戈萨,111,14
2005-2006,3,2005-09-19 01:00,0,西班牙人,100,12,1-0,0-0,3,皇家马德里,82,8
2005-2006,3,2005-09-19 03:00,1,马德里竞技,109,17,2-1,1-1,0,巴塞罗那,84,5
2005-2006,4,2005-09-22 03:00,0,巴塞罗那,84,8,2-2,1-0,0,巴伦西亚,91,6
2005-2006,4,2005-09-22 03:00,0,赫塔菲,98,1,1-1,1-0,0,马洛卡,101,13
2005-2006,4,2005-09-22 03:00,0,拉科鲁尼亚,93,2,1-1,1-1,0,皇家贝蒂斯,96,12
2005-2006,4,2005-09-22 03:00,1,马拉加,102,17,0-0,0-0,0,阿拉维斯,137,20
2005-2006,4,2005-09-22 03:00,1,皇家社会,106,18,3-2,0-2,0,马德里竞技,109,10
2005-2006,4,2005-09-22 03:00,0,桑坦德竞技,104,16,1-0,0-0,1,西班牙人,100,5
2005-2006,4,2005-09-22 03:00,0,塞维利亚,86,10,0-0,0-0,0,卡迪斯,143,9
2005-2006,4,2005-09-22 03:00,0,比利亚雷亚尔,107,19,1-2,0-1,0,塞尔塔,114,3
2005-2006,4,2005-09-22 03:00,0,萨拉戈萨,111,14,3-1,0-0,0,奥萨苏纳,94,4
2005-2006,4,2005-09-23 04:00,1,皇家马德里,82,15,3-1,0-1,0,毕尔巴鄂竞技,92,7
2005-2006,5,2005-09-25 02:00,0,马德里竞技,109,17,0-1,0-0,1,赫塔菲,98,2
2005-2006,5,2005-09-25 02:00,0,巴伦西亚,91,5,2-1,1-0,0,皇家社会,106,9
2005-2006,5,2005-09-25 02:00,0,萨拉戈萨,111,4,1-1,1-1,0,拉科鲁尼亚,93,3
2005-2006,5,2005-09-25 02:00,0,西班牙人,100,9,1-2,0-1,0,比利亚雷亚尔,107,19
2005-2006,5,2005-09-25 04:00,1,皇家贝蒂斯,96,13,1-4,1-1,0,巴塞罗那,84,11
2005-2006,5,2005-09-25 23:00,0,马洛卡,101,15,1-4,0-2,0,马拉加,102,18
2005-2006,5,2005-09-25 23:00,0,奥萨苏纳,94,8,2-0,1-0,0,卡迪斯,143,12
2005-2006,5,2005-09-25 23:00,0,阿拉维斯,137,19,0-3,0-0,0,皇家马德里,82,5
2005-2006,5,2005-09-26 01:00,0,毕尔巴鄂竞技,92,15,0-0,0-0,0,桑坦德竞技,104,7
2005-2006,5,2005-09-26 03:00,0,塞尔塔,114,1,2-1,2-0,0,塞维利亚,86,13
2005-2006,6,2005-10-02 02:00,0,巴塞罗那,84,7,2-2,0-0,1,萨拉戈萨,111,8
2005-2006,6,2005-10-02 04:00,0,赫塔菲,98,2,2-1,1-1,1,巴伦西亚,91,4
2005-2006,6,2005-10-02 23:00,0,拉科鲁尼亚,93,5,0-1,0-1,0,奥萨苏纳,94,7
2005-2006,6,2005-10-02 23:00,0,皇家社会,106,12,1-1,0-1,0,皇家贝蒂斯,96,17
2005-2006,6,2005-10-02 23:00,0,桑坦德竞技,104,10,1-2,0-1,0,阿拉维斯,137,20
2005-2006,6,2005-10-02 23:00,0,塞维利亚,86,15,1-1,0-1,0,西班牙人,100,11
2005-2006,6,2005-10-02 23:00,0,比利亚雷亚尔,107,14,3-1,1-1,1,毕尔巴鄂竞技,92,13
2005-2006,6,2005-10-02 23:00,0,卡迪斯,143,16,1-1,1-1,0,塞尔塔,114,2
2005-2006,6,2005-10-03 01:00,0,皇家马德里,82,4,4-0,2-0,1,马洛卡,101,19
2005-2006,6,2005-10-03 03:00,0,马拉加,102,9,0-2,0-0,0,马德里竞技,109,18
2005-2006,7,2005-10-15 23:59,0,阿拉维斯,137,19,1-1,1-1,0,比利亚雷亚尔,107,9
2005-2006,7,2005-10-16 02:00,0,拉科鲁尼亚,93,7,3-3,1-2,0,巴塞罗那,84,5
2005-2006,7,2005-10-16 04:00,1,马德里竞技,109,10,0-3,0-1,0,皇家马德里,82,3
2005-2006,7,2005-10-16 23:00,0,皇家贝蒂斯,96,17,1-0,1-0,1,赫塔菲,98,1
2005-2006,7,2005-10-16 23:00,0,马洛卡,101,20,0-0,0-0,0,桑坦德竞技,104,12
2005-2006,7,2005-10-16 23:00,0,奥萨苏纳,94,4,2-0,0-0,0,塞尔塔,114,2
2005-2006,7,2005-10-16 23:00,0,萨拉戈萨,111,8,0-1,0-1,1,皇家社会,106,14
2005-2006,7,2005-10-17 01:00,0,巴伦西亚,91,6,2-1,1-0,0,马拉加,102,11
2005-2006,7,2005-10-17 01:00,1,西班牙人,100,13,0-2,0-0,0,卡迪斯,143,16
2005-2006,7,2005-10-17 03:00,1,毕尔巴鄂竞技,92,18,0-1,0-1,0,塞维利亚,86,15
2005-2006,8,2005-10-23 02:00,0,塞维利亚,86,11,2-0,1-0,0,阿拉维斯,137,18
2005-2006,8,2005-10-23 04:00,0,巴塞罗那,84,6,3-0,0-0,0,奥萨苏纳,94,2
2005-2006,8,2005-10-23 23:00,0,卡迪斯,143,10,1-0,1-0,0,毕尔巴鄂竞技,92,19
2005-2006,8,2005-10-23 23:00,0,塞尔塔,114,4,1-0,0-0,1,西班牙人,100,17
2005-2006,8,2005-10-23 23:00,0,赫塔菲,98,3,5-2,4-0,0,萨拉戈萨,111,13
2005-2006,8,2005-10-23 23:00,0,马拉加,102,15,5-0,2-0,0,皇家贝蒂斯,96,12
2005-2006,8,2005-10-23 23:00,0,比利亚雷亚尔,107,9,3-0,3-0,0,马洛卡,101,20
2005-2006,8,2005-10-23 23:00,0,皇家社会,106,8,2-0,0-0,0,拉科鲁尼亚,93,7
2005-2006,8,2005-10-24 01:00,0,桑坦德竞技,104,14,0-1,0-1,0,马德里竞技,109,16
2005-2006,8,2005-10-24 03:00,2,皇家马德里,82,1,1-2,1-2,0,巴伦西亚,91,5
2005-2006,9,2005-10-30 02:00,0,皇家贝蒂斯,96,16,0-2,0-1,0,皇家马德里,82,6
2005-2006,9,2005-10-30 04:00,0,毕尔巴鄂竞技,92,20,1-1,1-0,0,塞尔塔,114,4
2005-2006,9,2005-10-30 23:59,0,拉科鲁尼亚,93,10,1-0,1-0,0,赫塔菲,98,2
2005-2006,9,2005-10-30 23:59,1,马洛卡,101,18,1-1,1-1,0,塞维利亚,86,8
2005-2006,9,2005-10-30 23:59,0,奥萨苏纳,94,1,2-0,1-0,1,西班牙人,100,17
2005-2006,9,2005-10-30 23:59,0,巴伦西亚,91,9,1-1,1-1,1,桑坦德竞技,104,15
2005-2006,9,2005-10-30 23:59,0,萨拉戈萨,111,14,1-1,1-1,0,马拉加,102,13
2005-2006,9,2005-10-30 23:59,0,阿拉维斯,137,19,0-0,0-0,0,卡迪斯,143,12
2005-2006,9,2005-10-31 02:00,0,巴塞罗那,84,3,5-0,2-0,1,皇家社会,106,5
2005-2006,9,2005-10-31 04:00,1,马德里竞技,109,11,1-1,1-0,1,比利亚雷亚尔,107,7
2005-2006,10,2005-11-06 01:00,0,皇家社会,106,10,1-2,1-1,0,奥萨苏纳,94,1
2005-2006,10,2005-11-06 03:00,0,西班牙人,100,19,1-1,0-1,0,毕尔巴鄂竞技,92,20
2005-2006,10,2005-11-06 05:00,0,比利亚雷亚尔,107,6,1-0,1-0,0,巴伦西亚,91,9
2005-2006,10,2005-11-06 23:59,0,桑坦德竞技,104,15,1-1,0-1,0,皇家贝蒂斯,96,17
2005-2006,10,2005-11-06 23:59,0,塞维利亚,86,7,0-0,0-0,0,马德里竞技,109,11
2005-2006,10,2005-11-06 23:59,0,马拉加,102,13,1-1,0-0,0,拉科鲁尼亚,93,8
2005-2006,10,2005-11-06 23:59,0,卡迪斯,143,12,1-2,1-1,1,马洛卡,101,16
2005-2006,10,2005-11-06 23:59,0,塞尔塔,114,5,2-1,1-0,0,阿拉维斯,137,18
2005-2006,10,2005-11-07 02:00,0,皇家马德里,82,3,1-0,0-0,0,萨拉戈萨,111,14
2005-2006,10,2005-11-07 04:00,0,赫塔菲,98,4,1-3,0-1,0,巴塞罗那,84,2
2005-2006,11,2005-10-27 02:00,0,马洛卡,101,20,1-0,0-0,1,塞尔塔,114,2
2005-2006,11,2005-10-27 02:00,0,奥萨苏纳,94,5,3-2,1-1,0,毕尔巴鄂竞技,92,19
2005-2006,11,2005-10-27 02:00,2,皇家贝蒂斯,96,14,2-3,1-1,0,比利亚雷亚尔,107,8
2005-2006,11,2005-10-27 02:30,0,巴塞罗那,84,6,2-0,0-0,0,马拉加,102,11
2005-2006,11,2005-10-27 04:00,0,拉科鲁尼亚,93,12,3-1,2-0,0,皇家马德里,82,3
2005-2006,11,2005-10-28 02:00,0,萨拉戈萨,111,15,1-1,1-0,0,桑坦德竞技,104,16
2005-2006,11,2005-10-28 02:00,0,皇家社会,106,7,3-0,3-0,0,赫塔菲,98,1
2005-2006,11,2005-10-28 02:00,1,阿拉维斯,137,18,1-1,1-1,0,西班牙人,100,17
2005-2006,11,2005-10-28 02:00,0,马德里竞技,109,13,3-0,1-0,0,卡迪斯,143,10
2005-2006,11,2005-10-28 03:00,0,巴伦西亚,91,4,0-2,0-1,0,塞维利亚,86,9
2005-2006,12,2005-11-20 01:00,0,赫塔菲,98,8,0-0,0-0,0,奥萨苏纳,94,1
2005-2006,12,2005-11-20 01:00,0,比利亚雷亚尔,107,5,0-0,0-0,0,萨拉戈萨,111,16
2005-2006,12,2005-11-20 03:00,0,皇家马德里,82,3,0-3,0-1,0,巴塞罗那,84,2
2005-2006,12,2005-11-20 05:00,2,塞维利亚,86,6,1-0,0-0,0,皇家贝蒂斯,96,17
2005-2006,12,2005-11-20 23:59,0,马拉加,102,13,3-1,0-0,0,皇家社会,106,10
2005-2006,12,2005-11-20 23:59,0,毕尔巴鄂竞技,92,20,0-2,0-1,0,阿拉维斯,137,19
2005-2006,12,2005-11-20 23:59,1,卡迪斯,143,12,0-1,0-0,1,巴伦西亚,91,9
2005-2006,12,2005-11-20 23:59,0,西班牙人,100,18,2-0,2-0,1,马洛卡,101,14
2005-2006,12,2005-11-21 02:00,0,塞尔塔,114,4,2-1,1-0,0,马德里竞技,109,11
2005-2006,12,2005-11-21 04:00,0,桑坦德竞技,104,15,0-3,0-1,0,拉科鲁尼亚,93,7
2005-2006,13,2005-11-27 03:00,0,马洛卡,101,15,0-1,0-0,0,毕尔巴鄂竞技,92,20
2005-2006,13,2005-11-27 05:00,0,巴伦西亚,91,8,2-0,0-0,0,塞尔塔,114,3
2005-2006,13,2005-11-27 23:59,1,萨拉戈萨,111,16,0-2,0-0,0,塞维利亚,86,7
2005-2006,13,2005-11-27 23:59,0,奥萨苏纳,94,2,3-2,0-0,0,阿拉维斯,137,17
2005-2006,13,2005-11-27 23:59,0,马德里竞技,109,12,1-1,1-1,0,西班牙人,100,14
2005-2006,13,2005-11-27 23:59,1,皇家贝蒂斯,96,19,1-1,1-0,0,卡迪斯,143,13
2005-2006,13,2005-11-27 23:59,0,赫塔菲,98,9,3-2,2-1,0,马拉加,102,11
2005-2006,13,2005-11-27 23:59,0,拉科鲁尼亚,93,6,0-2,0-0,0,比利亚雷亚尔,107,5
2005-2006,13,2005-11-28 02:00,1,皇家社会,106,10,2-2,1-0,1,皇家马德里,82,4
2005-2006,13,2005-11-28 04:00,0,巴塞罗那,84,1,4-1,1-0,1,桑坦德竞技,104,18
2005-2006,14,2005-12-04 01:00,0,塞尔塔,114,5,2-1,2-0,0,皇家贝蒂斯,96,19
2005-2006,14,2005-12-04 03:00,1,皇家马德里,82,6,1-0,1-0,0,赫塔菲,98,8
2005-2006,14,2005-12-04 05:00,0,毕尔巴鄂竞技,92,20,1-1,0-1,0,马德里竞技,109,11
2005-2006,14,2005-12-04 23:59,0,卡迪斯,143,13,1-2,1-0,0,萨拉戈萨,111,16
2005-2006,14,2005-12-04 23:59,0,西班牙人,100,14,1-3,0-2,1,巴伦西亚,91,7
2005-2006,14,2005-12-04 23:59,0,阿拉维斯,137,17,0-3,0-1,0,马洛卡,101,15
2005-2006,14,2005-12-04 23:59,0,桑坦德竞技,104,18,2-2,0-1,1,皇家社会,106,10
2005-2006,14,2005-12-05 01:00,0,马拉加,102,12,1-2,1-2,0,奥萨苏纳,94,2
2005-2006,14,2005-12-05 02:00,0,比利亚雷亚尔,107,3,0-2,0-1,0,巴塞罗那,84,1
2005-2006,14,2005-12-05 04:00,2,塞维利亚,86,4,0-2,0-2,0,拉科鲁尼亚,93,9
2005-2006,15,2005-12-11 03:00,0,巴伦西亚,91,5,1-1,0-0,1,毕尔巴鄂竞技,92,18
2005-2006,15,2005-12-11 05:00,0,皇家社会,106,10,1-3,1-1,0,比利亚雷亚尔,107,6
2005-2006,15,2005-12-11 23:59,0,萨拉戈萨,111,14,1-0,0-0,0,塞尔塔,114,3
2005-2006,15,2005-12-11 23:59,0,奥萨苏纳,94,2,1-0,1-0,0,马洛卡,101,13
2005-2006,15,2005-12-11 23:59,0,马德里竞技,109,11,1-1,0-0,0,阿拉维斯,137,19
2005-2006,15,2005-12-11 23:59,0,皇家贝蒂斯,96,20,0-0,0-0,0,西班牙人,100,16
2005-2006,15,2005-12-11 23:59,0,赫塔菲,98,9,1-2,1-1,0,桑坦德竞技,104,17
2005-2006,15,2005-12-11 23:59,0,拉科鲁尼亚,93,7,1-0,0-0,0,卡迪斯,143,15
2005-2006,15,2005-12-12 02:00,0,马拉加,102,12,0-2,0-2,0,皇家马德里,82,4
2005-2006,15,2005-12-12 04:00,0,巴塞罗那,84,1,2-1,0-0,0,塞维利亚,86,8
2005-2006,16,2005-12-18 03:00,1,塞尔塔,114,7,0-3,0-3,0,拉科鲁尼亚,93,5
2005-2006,16,2005-12-18 03:00,0,毕尔巴鄂竞技,92,18,2-0,2-0,1,皇家贝蒂斯,96,20
2005-2006,16,2005-12-18 05:00,0,卡迪斯,143,16,1-3,0-2,0,巴塞罗那,84,1
2005-2006,16,2005-12-18 23:59,3,桑坦德竞技,104,14,1-1,1-1,2,马拉加,102,13
2005-2006,16,2005-12-18 23:59,0,塞维利亚,86,8,3-2,0-1,2,皇家社会,106,11
2005-2006,16,2005-12-18 23:59,0,比利亚雷亚尔,107,4,2-1,1-1,0,赫塔菲,98,9
2005-2006,16,2005-12-18 23:59,0,西班牙人,100,17,2-2,0-0,0,萨拉戈萨,111,12
2005-2006,16,2005-12-18 23:59,0,阿拉维斯,137,19,0-1,0-1,0,巴伦西亚,91,6
2005-2006,16,2005-12-19 02:00,1,马洛卡,101,15,2-2,1-2,1,马德里竞技,109,10
2005-2006,16,2005-12-19 04:00,0,皇家马德里,82,3,1-1,0-0,1,奥萨苏纳,94,2
2005-2006,17,2005-12-21 04:00,0,巴塞罗那,84,1,2-0,1-0,0,塞尔塔,114,8
2005-2006,17,2005-12-22 03:00,0,皇家贝蒂斯,96,20,3-0,1-0,0,阿拉维斯,137,19
2005-2006,17,2005-12-22 03:00,1,赫塔菲,98,9,1-0,1-0,0,塞维利亚,86,7
2005-2006,17,2005-12-22 03:00,0,拉科鲁尼亚,93,5,1-2,0-0,1,西班牙人,100,17
2005-2006,17,2005-12-22 03:00,0,马拉加,102,13,0-0,0-0,0,比利亚雷亚尔,107,4
2005-2006,17,2005-12-22 03:00,0,皇家马德里,82,3,1-2,0-2,0,桑坦德竞技,104,14
2005-2006,17,2005-12-22 03:00,0,皇家社会,106,12,2-0,1-0,1,卡迪斯,143,18
2005-2006,17,2005-12-22 03:00,0,萨拉戈萨,111,11,3-2,0-1,0,毕尔巴鄂竞技,92,16
2005-2006,17,2005-12-22 04:00,0,巴伦西亚,91,6,3-0,0-0,0,马洛卡,101,15
2005-2006,17,2005-12-23 04:00,0,奥萨苏纳,94,2,2-1,2-1,0,马德里竞技,109,10
2005-2006,18,2006-01-08 03:00,0,毕尔巴鄂竞技,92,17,1-2,0-1,0,拉科鲁尼亚,93,6
2005-2006,18,2006-01-08 05:00,0,西班牙人,100,14,1-2,0-1,0,巴塞罗那,84,1
2005-2006,18,2006-01-08 23:59,0,马洛卡,101,16,1-1,1-1,0,皇家贝蒂斯,96,18
2005-2006,18,2006-01-08 23:59,0,奥萨苏纳,94,2,1-1,1-1,0,桑坦德竞技,104,13
2005-2006,18,2006-01-08 23:59,0,塞维利亚,86,7,3-1,1-0,1,马拉加,102,15
2005-2006,18,2006-01-08 23:59,1,卡迪斯,143,19,1-0,1-0,1,赫塔菲,98,9
2005-2006,18,2006-01-08 23:59,0,塞尔塔,114,8,1-0,1-0,0,皇家社会,106,11
2005-2006,18,2006-01-08 23:59,0,阿拉维斯,137,20,0-2,0-0,0,萨拉戈萨,111,10
2005-2006,18,2006-01-09 02:00,0,比利亚雷亚尔,107,4,0-0,0-0,0,皇家马德里,82,5
2005-2006,18,2006-01-09 04:00,0,马德里竞技,109,12,0-0,0-0,0,巴伦西亚,91,3
2005-2006,19,2006-01-15 03:00,0,皇家贝蒂斯,96,18,1-0,1-0,0,马德里竞技,109,12
2005-2006,19,2006-01-15 05:00,0,巴伦西亚,91,3,2-0,1-0,0,奥萨苏纳,94,2
2005-2006,19,2006-01-15 23:59,0,萨拉戈萨,111,9,3-1,2-0,0,马洛卡,101,17
2005-2006,19,2006-01-15 23:59,0,赫塔菲,98,10,1-1,1-0,0,塞尔塔,114,8
2005-2006,19,2006-01-15 23:59,0,拉科鲁尼亚,93,4,0-2,0-1,0,阿拉维斯,137,20
2005-2006,19,2006-01-15 23:59,1,马拉加,102,15,0-2,0-2,0,卡迪斯,143,16
2005-2006,19,2006-01-15 23:59,0,皇家社会,106,11,0-1,0-0,1,西班牙人,100,14
2005-2006,19,2006-01-15 23:59,2,桑坦德竞技,104,13,1-0,1-0,1,比利亚雷亚尔,107,5
2005-2006,19,2006-01-16 02:00,1,巴塞罗那,84,1,2-1,1-1,0,毕尔巴鄂竞技,92,19
2005-2006,19,2006-01-16 04:00,0,皇家马德里,82,6,4-2,1-0,0,塞维利亚,86,7
2005-2006,20,2006-01-22 03:00,0,萨拉戈萨,111,9,0-2,0-1,0,马德里竞技,109,14
2005-2006,20,2006-01-22 05:00,0,皇家马德里,82,4,3-1,0-0,0,卡迪斯,143,15
2005-2006,20,2006-01-22 23:59,0,桑坦德竞技,104,11,2-3,1-1,0,塞维利亚,86,8
2005-2006,20,2006-01-22 23:59,0,比利亚雷亚尔,107,6,2-1,0-1,0,奥萨苏纳,94,2
2005-2006,20,2006-01-22 23:59,0,皇家贝蒂斯,96,16,0-2,0-1,0,巴伦西亚,91,3
2005-2006,20,2006-01-22 23:59,0,赫塔菲,98,10,5-0,2-0,0,西班牙人,100,12
2005-2006,20,2006-01-22 23:59,0,拉科鲁尼亚,93,5,2-2,2-0,0,马洛卡,101,18
2005-2006,20,2006-01-23 01:00,0,马拉加,102,17,0-2,0-0,0,塞尔塔,114,7
2005-2006,20,2006-01-23 02:00,0,巴塞罗那,84,1,2-0,0-0,0,阿拉维斯,137,20
2005-2006,20,2006-01-23 04:00,0,皇家社会,106,13,3-3,2-0,0,毕尔巴鄂竞技,92,19
2005-2006,21,2006-01-29 01:00,0,卡迪斯,143,15,1-1,0-0,0,桑坦德竞技,104,12
2005-2006,21,2006-01-29 03:00,0,毕尔巴鄂竞技,92,19,1-0,0-0,0,赫塔菲,98,9
2005-2006,21,2006-01-29 05:00,0,马德里竞技,109,11,3-2,1-0,0,拉科鲁尼亚,93,6
2005-2006,21,2006-01-29 23:59,0,奥萨苏纳,94,3,0-2,0-1,0,皇家贝蒂斯,96,16
2005-2006,21,2006-01-29 23:59,0,塞维利亚,86,8,2-0,1-0,1,比利亚雷亚尔,107,5
2005-2006,21,2006-01-29 23:59,0,巴伦西亚,91,2,2-2,0-1,1,萨拉戈萨,111,10
2005-2006,21,2006-01-29 23:59,0,阿拉维斯,137,20,3-1,1-0,0,皇家社会,106,13
2005-2006,21,2006-01-29 23:59,0,西班牙人,100,14,3-1,3-1,0,马拉加,102,18
2005-2006,21,2006-01-30 02:00,1,马洛卡,101,17,0-3,0-1,0,巴塞罗那,84,1
2005-2006,21,2006-01-30 04:00,0,塞尔塔,114,7,1-2,1-1,0,皇家马德里,82,4
2005-2006,22,2006-02-05 01:00,1,马拉加,102,20,2-1,1-1,0,毕尔巴鄂竞技,92,17
2005-2006,22,2006-02-05 03:00,0,皇家马德里,82,3,4-0,3-0,0,西班牙人,100,13
2005-2006,22,2006-02-05 05:00,0,拉科鲁尼亚,93,7,0-1,0-1,0,巴伦西亚,91,2
2005-2006,22,2006-02-05 23:59,0,皇家社会,106,15,2-1,1-1,0,马洛卡,101,19
2005-2006,22,2006-02-05 23:59,0,桑坦德竞技,104,12,0-1,0-0,0,塞尔塔,114,8
2005-2006,22,2006-02-05 23:59,0,赫塔菲,98,9,2-2,1-1,0,阿拉维斯,137,18
2005-2006,22,2006-02-05 23:59,1,比利亚雷亚尔,107,6,1-1,0-1,0,卡迪斯,143,16
2005-2006,22,2006-02-05 23:59,1,萨拉戈萨,111,10,4-3,4-1,1,皇家贝蒂斯,96,14
2005-2006,22,2006-02-06 02:00,0,巴塞罗那,84,1,1-3,0-1,0,马德里竞技,109,11
2005-2006,22,2006-02-06 04:00,1,塞维利亚,86,5,0-1,0-0,0,奥萨苏纳,94,4
2005-2006,23,2006-02-12 03:00,0,卡迪斯,143,15,0-4,0-1,0,塞维利亚,86,7
2005-2006,23,2006-02-12 03:00,0,奥萨苏纳,94,4,1-1,1-1,0,萨拉戈萨,111,9
2005-2006,23,2006-02-12 05:00,0,毕尔巴鄂竞技,92,18,0-2,0-1,0,皇家马德里,82,3
2005-2006,23,2006-02-12 23:59,0,阿拉维斯,137,19,3-2,1-0,0,马拉加,102,17
2005-2006,23,2006-02-12 23:59,0,塞尔塔,114,5,1-0,1-0,0,比利亚雷亚尔,107,6
2005-2006,23,2006-02-12 23:59,0,西班牙人,100,14,0-2,0-0,0,桑坦德竞技,104,13
2005-2006,23,2006-02-12 23:59,0,马洛卡,101,20,1-1,0-0,0,赫塔菲,98,10
2005-2006,23,2006-02-12 23:59,0,皇家贝蒂斯,96,16,0-1,0-0,0,拉科鲁尼亚,93,8
2005-2006,23,2006-02-13 02:00,0,马德里竞技,109,11,1-0,0-0,1,皇家社会,106,12
2005-2006,23,2006-02-13 04:00,0,巴伦西亚,91,2,1-0,1-0,0,巴塞罗那,84,1
2005-2006,24,2006-02-19 01:00,0,比利亚雷亚尔,107,8,4-0,3-0,0,西班牙人,100,14
2005-2006,24,2006-02-19 03:00,0,皇家马德里,82,3,3-0,2-0,0,阿拉维斯,137,15
2005-2006,24,2006-02-19 05:00,0,塞维利亚,86,6,1-0,1-0,0,塞尔塔,114,5
2005-2006,24,2006-02-19 05:00,0,巴塞罗那,84,1,5-1,3-0,0,皇家贝蒂斯,96,16
2005-2006,24,2006-02-19 23:59,1,卡迪斯,143,17,1-3,1-2,0,奥萨苏纳,94,4
2005-2006,24,2006-02-19 23:59,1,拉科鲁尼亚,93,7,1-1,0-1,0,萨拉戈萨,111,10
2005-2006,24,2006-02-19 23:59,1,桑坦德竞技,104,12,0-1,0-0,0,毕尔巴鄂竞技,92,19
2005-2006,24,2006-02-20 02:00,0,皇家社会,106,13,1-2,1-0,0,巴伦西亚,91,2
2005-2006,24,2006-02-20 02:00,0,马拉加,102,18,0-2,0-0,1,马洛卡,101,20
2005-2006,24,2006-02-20 04:00,0,赫塔菲,98,11,0-3,0-1,0,马德里竞技,109,9
2005-2006,25,2006-02-26 03:00,0,马德里竞技,109,9,5-0,3-0,1,马拉加,102,20
2005-2006,25,2006-02-26 05:00,1,萨拉戈萨,111,10,0-2,0-0,0,巴塞罗那,84,1
2005-2006,25,2006-02-26 23:59,0,阿拉维斯,137,16,2-2,2-1,0,桑坦德竞技,104,12
2005-2006,25,2006-02-26 23:59,0,毕尔巴鄂竞技,92,15,1-1,1-1,0,比利亚雷亚尔,107,7
2005-2006,25,2006-02-26 23:59,0,皇家贝蒂斯,96,19,2-0,1-0,0,皇家社会,106,13
2005-2006,25,2006-02-26 23:59,0,塞尔塔,114,6,2-0,1-0,0,卡迪斯,143,17
2005-2006,25,2006-02-26 23:59,0,西班牙人,100,14,5-0,1-0,1,塞维利亚,86,5
2005-2006,25,2006-02-26 23:59,0,巴伦西亚,91,2,1-1,0-0,1,赫塔菲,98,11
2005-2006,25,2006-02-27 02:00,0,马洛卡,101,18,2-1,0-1,0,皇家马德里,82,3
2005-2006,25,2006-02-27 04:00,0,奥萨苏纳,94,4,1-2,1-0,0,拉科鲁尼亚,93,8
2005-2006,26,2006-03-05 01:00,0,卡迪斯,143,19,2-0,0-0,0,西班牙人,100,13
2005-2006,26,2006-03-05 01:00,0,比利亚雷亚尔,107,8,3-2,1-2,0,阿拉维斯,137,18
2005-2006,26,2006-03-05 03:00,0,皇家马德里,82,3,2-1,2-1,0,马德里竞技,109,9
2005-2006,26,2006-03-05 05:00,0,巴塞罗那,84,1,3-2,2-2,0,拉科鲁尼亚,93,7
2005-2006,26,2006-03-05 23:59,0,塞尔塔,114,5,2-0,1-0,1,奥萨苏纳,94,4
2005-2006,26,2006-03-05 23:59,0,赫塔菲,98,11,1-0,1-0,0,皇家贝蒂斯,96,14
2005-2006,26,2006-03-05 23:59,0,皇家社会,106,15,1-3,1-0,0,萨拉戈萨,111,10
2005-2006,26,2006-03-05 23:59,0,桑坦德竞技,104,12,0-0,0-0,0,马洛卡,101,16
2005-2006,26,2006-03-06 02:00,1,塞维利亚,86,6,2-1,1-1,0,毕尔巴鄂竞技,92,17
2005-2006,26,2006-03-06 04:00,0,马拉加,102,20,0-0,0-0,0,巴伦西亚,91,2
2005-2006,27,2006-03-12 01:00,1,西班牙人,100,13,2-0,2-0,0,塞尔塔,114,5
2005-2006,27,2006-03-12 03:00,0,拉科鲁尼亚,93,8,0-1,0-0,0,皇家社会,106,17
2005-2006,27,2006-03-12 05:00,0,巴伦西亚,91,3,0-0,0-0,0,皇家马德里,82,2
2005-2006,27,2006-03-12 23:59,1,萨拉戈萨,111,10,1-2,1-1,0,赫塔菲,98,11
2005-2006,27,2006-03-12 23:59,0,马洛卡,101,14,1-1,1-1,0,比利亚雷亚尔,107,7
2005-2006,27,2006-03-12 23:59,0,皇家贝蒂斯,96,15,1-1,1-0,0,马拉加,102,20
2005-2006,27,2006-03-12 23:59,2,阿拉维斯,137,19,2-1,2-1,1,塞维利亚,86,6
