赛季,轮次,时间,主队红牌数,主队名称,主队ID,主队上轮名次,比分,半场比分,客队红牌数,客队名称,客队ID,客队上轮名次
2003-2004,6,2003-10-06 01:00,0,皇家马德里,82,,2-1,0-0,0,西班牙人,100,
2003-2004,6,2003-10-06 03:30,0,巴塞罗那,84,,0-1,0-1,0,巴伦西亚,91,
2003-2004,7,2003-10-19 01:30,0,塞尔塔,114,,0-2,0-1,0,皇家马德里,82,
2003-2004,7,2003-10-19 03:30,0,阿尔巴切特,110,,3-1,0-0,0,皇家社会,106,
2003-2004,7,2003-10-19 03:30,0,巴塞罗那,84,,0-2,0-1,0,拉科鲁尼亚,93,
2003-2004,7,2003-10-19 23:00,0,毕尔巴鄂竞技,92,,2-0,0-0,0,比利亚雷亚尔,107,
2003-2004,7,2003-10-19 23:00,0,桑坦德竞技,104,,4-2,0-1,0,马拉加,102,
2003-2004,7,2003-10-19 23:00,0,巴伦西亚,91,,4-0,3-0,0,西班牙人,100,
2003-2004,7,2003-10-19 23:00,0,萨拉戈萨,111,,1-0,1-0,0,瓦拉多利德,123,
2003-2004,7,2003-10-20 01:00,0,马德里竞技,109,,2-1,1-1,0,马洛卡,101,
2003-2004,7,2003-10-20 01:00,0,奥萨苏纳,94,,2-1,1-1,0,穆尔西亚,117,
2003-2004,7,2003-10-20 03:30,0,塞维利亚,86,,2-2,0-0,0,皇家贝蒂斯,96,
2003-2004,8,2003-10-25 23:30,0,马拉加,102,,2-1,2-0,0,萨拉戈萨,111,
2003-2004,8,2003-10-26 01:30,0,皇家马德里,82,,3-1,1-1,0,桑坦德竞技,104,
2003-2004,8,2003-10-26 03:30,0,拉科鲁尼亚,93,,2-1,1-0,0,巴伦西亚,91,
2003-2004,8,2003-10-26 23:59,0,瓦拉多利德,123,,2-0,1-0,0,毕尔巴鄂竞技,92,
2003-2004,8,2003-10-26 23:59,0,西班牙人,100,,0-4,0-1,0,塞尔塔,114,
2003-2004,8,2003-10-26 23:59,0,皇家社会,106,,1-0,0-0,0,奥萨苏纳,94,
2003-2004,8,2003-10-26 23:59,0,皇家贝蒂斯,96,,3-2,2-1,0,阿尔巴切特,110,
2003-2004,8,2003-10-26 23:59,0,比利亚雷亚尔,107,,3-3,1-2,0,塞维利亚,86,
2003-2004,8,2003-10-27 02:00,0,马洛卡,101,,1-3,0-2,0,巴塞罗那,84,
2003-2004,8,2003-10-27 04:00,0,穆尔西亚,117,,1-3,0-2,0,马德里竞技,109,
2003-2004,9,2003-10-29 04:00,0,萨拉戈萨,111,,0-0,0-0,0,皇家马德里,82,
2003-2004,9,2003-10-30 04:00,0,阿尔巴切特,110,,2-0,0-0,0,比利亚雷亚尔,107,
2003-2004,9,2003-10-30 04:00,0,毕尔巴鄂竞技,92,,2-1,0-1,0,马拉加,102,
2003-2004,9,2003-10-30 04:00,0,巴塞罗那,84,,3-0,1-0,0,穆尔西亚,117,
2003-2004,9,2003-10-30 04:00,0,拉科鲁尼亚,93,,0-2,0-0,0,马洛卡,101,
2003-2004,9,2003-10-30 04:00,0,桑坦德竞技,104,,0-1,0-0,0,西班牙人,100,
2003-2004,9,2003-10-30 04:00,0,塞维利亚,86,,1-1,1-0,0,瓦拉多利德,123,
2003-2004,9,2003-10-30 04:00,0,巴伦西亚,91,,2-2,1-0,0,塞尔塔,114,
2003-2004,9,2003-10-30 04:00,0,奥萨苏纳,94,,2-0,0-0,0,皇家贝蒂斯,96,
2003-2004,9,2003-10-31 04:30,0,马德里竞技,109,,4-0,1-0,0,皇家社会,106,
2003-2004,10,2003-11-02 02:30,0,穆尔西亚,117,,0-0,0-0,0,拉科鲁尼亚,93,
2003-2004,10,2003-11-02 02:30,0,塞尔塔,114,,0-1,0-1,0,桑坦德竞技,104,
2003-2004,10,2003-11-02 04:30,0,皇家马德里,82,,3-0,1-0,0,毕尔巴鄂竞技,92,
2003-2004,10,2003-11-02 23:59,0,皇家贝蒂斯,96,,1-2,1-1,0,马德里竞技,109,
2003-2004,10,2003-11-02 23:59,0,西班牙人,100,,0-2,0-2,0,萨拉戈萨,111,
2003-2004,10,2003-11-02 23:59,0,瓦拉多利德,123,,2-0,1-0,0,阿尔巴切特,110,
2003-2004,10,2003-11-02 23:59,0,比利亚雷亚尔,107,,1-0,1-0,0,奥萨苏纳,94,
2003-2004,10,2003-11-02 23:59,0,马拉加,102,,2-0,2-0,0,塞维利亚,86,
2003-2004,10,2003-11-03 02:00,0,皇家社会,106,,3-3,0-1,0,巴塞罗那,84,
2003-2004,10,2003-11-03 04:00,0,马洛卡,101,,0-5,0-3,0,巴伦西亚,91,
2003-2004,11,2003-11-09 02:30,0,毕尔巴鄂竞技,92,,1-0,1-0,0,西班牙人,100,
2003-2004,11,2003-11-09 02:30,0,萨拉戈萨,111,,1-1,1-1,0,塞尔塔,114,
2003-2004,11,2003-11-09 04:30,0,拉科鲁尼亚,93,,2-1,0-1,0,皇家社会,106,
2003-2004,11,2003-11-09 23:59,0,阿尔巴切特,110,,0-1,0-0,0,马拉加,102,
2003-2004,11,2003-11-09 23:59,0,马德里竞技,109,,1-0,0-0,0,比利亚雷亚尔,107,
2003-2004,11,2003-11-09 23:59,0,巴伦西亚,91,,1-2,1-1,0,桑坦德竞技,104,
2003-2004,11,2003-11-09 23:59,0,马洛卡,101,,4-1,3-1,0,穆尔西亚,117,
2003-2004,11,2003-11-09 23:59,0,奥萨苏纳,94,,1-1,1-1,0,瓦拉多利德,123,
2003-2004,11,2003-11-10 02:00,0,巴塞罗那,84,,2-1,1-0,0,皇家贝蒂斯,96,
2003-2004,11,2003-11-10 04:00,0,塞维利亚,86,,4-1,4-0,0,皇家马德里,82,
2003-2004,12,2003-11-23 02:30,0,皇家社会,106,,0-1,0-1,0,马洛卡,101,
2003-2004,12,2003-11-23 02:30,0,皇家贝蒂斯,96,,0-0,0-0,0,拉科鲁尼亚,93,
2003-2004,12,2003-11-23 04:30,0,比利亚雷亚尔,107,,2-1,1-0,0,巴塞罗那,84,
2003-2004,12,2003-11-23 23:59,0,瓦拉多利德,123,,3-1,2-1,0,马德里竞技,109,
2003-2004,12,2003-11-23 23:59,0,马拉加,102,,0-0,0-0,0,奥萨苏纳,94,
2003-2004,12,2003-11-23 23:59,0,西班牙人,100,,1-0,0-0,0,塞维利亚,86,
2003-2004,12,2003-11-23 23:59,0,塞尔塔,114,,0-2,0-0,0,毕尔巴鄂竞技,92,
2003-2004,12,2003-11-23 23:59,0,桑坦德竞技,104,,1-2,1-1,0,萨拉戈萨,111,
2003-2004,12,2003-11-24 02:00,0,皇家马德里,82,,2-1,1-1,0,阿尔巴切特,110,
2003-2004,12,2003-11-24 04:00,0,穆尔西亚,117,,2-2,1-1,0,巴伦西亚,91,
2003-2004,13,2003-11-29 23:59,0,穆尔西亚,117,,2-2,0-1,0,皇家社会,106,
2003-2004,13,2003-11-30 02:30,0,奥萨苏纳,94,,1-1,1-0,0,皇家马德里,82,
2003-2004,13,2003-11-30 04:30,0,马德里竞技,109,,2-0,1-0,0,马拉加,102,
2003-2004,13,2003-11-30 04:30,0,巴伦西亚,91,,3-2,3-0,0,萨拉戈萨,111,
2003-2004,13,2003-11-30 23:59,0,阿尔巴切特,110,,2-1,1-1,0,西班牙人,100,
2003-2004,13,2003-11-30 23:59,0,毕尔巴鄂竞技,92,,1-2,1-1,0,桑坦德竞技,104,
2003-2004,13,2003-11-30 23:59,0,塞维利亚,86,,0-1,0-1,0,塞尔塔,114,
2003-2004,13,2003-11-30 23:59,0,马洛卡,101,,2-1,1-1,0,皇家贝蒂斯,96,
2003-2004,13,2003-12-01 02:00,0,巴塞罗那,84,,0-0,0-0,0,瓦拉多利德,123,
2003-2004,13,2003-12-01 04:00,0,拉科鲁尼亚,93,,0-1,0-0,0,比利亚雷亚尔,107,
