轮次,时间,主队红牌,主队名称,主队名次,比分,半场比分,主队红牌,主队名称,主队名次,全场让球,半场让球,全场大小,半场大小
6,2013-09-25 04:00,0,马拉加,11,2-0,0-0,0,阿尔梅里亚,16,平/半,平/半,2.5/3,1/1.5
6,2013-09-25 04:00,0,马德里竞技,2,2-1,2-1,0,奥萨苏纳,18,半/一,半/一,3,1/1.5
6,2013-09-26 02:00,0,格拉那达,13,0-1,0-0,0,巴伦西亚,10,平手,平手,2.5,1
6,2013-09-26 02:00,0,塞维利亚,20,4-1,1-0,2,巴列卡诺,19,半球,半球,2.5/3,1/1.5
6,2013-09-26 04:00,0,艾尔切,16,1-2,0-0,0,皇家马德里,3,半球,半球,3/3.5,1.5
6,2013-09-27 02:00,0,毕尔巴鄂竞技,6,2-1,0-0,0,皇家贝蒂斯,12,平/半,平/半,2.5,1
6,2013-09-27 04:00,0,赫塔菲,16,2-0,1-0,0,塞尔塔,10,平/半,平/半,2/2.5,0.5/1
6,2013-09-27 04:00,0,比利亚雷亚尔,4,2-1,1-0,0,西班牙人,5,平/半,平/半,2.5,1
7,2013-09-28 03:00,0,瓦拉多利德,15,2-2,0-1,0,马拉加,8,平手,平手,2/2.5,0.5/1
7,2013-09-28 22:00,0,巴伦西亚,8,1-0,1-0,0,巴列卡诺,20,半球,半球,2.5/3,1/1.5
7,2013-09-28 23:59,0,阿尔梅里亚,17,0-2,0-1,0,巴塞罗那,1,一球,一球,3.5/4,1.5
7,2013-09-29 02:00,0,皇家社会,12,1-1,0-1,1,塞维利亚,15,平/半,平/半,2.5,1
7,2013-09-29 04:00,0,皇家马德里,3,0-1,0-1,0,马德里竞技,2,半球,半球,3/3.5,1.5
7,2013-09-29 18:00,1,奥萨苏纳,19,0-1,0-0,0,莱万特,11,平/半,平/半,2/2.5,0.5/1
7,2013-09-29 23:00,0,塞尔塔,13,0-1,0-0,0,艾尔切,17,平/半,平/半,2/2.5,1
7,2013-09-30 01:00,0,西班牙人,7,0-2,0-0,0,赫塔菲,10,平/半,平/半,2/2.5,1
7,2013-09-30 03:00,0,皇家贝蒂斯,15,1-0,1-0,0,比利亚雷亚尔,4,平手,平手,2.5,1
7,2013-10-01 04:00,0,格拉那达,17,2-0,0-0,0,毕尔巴鄂竞技,5,平手,平手,2.5,1
8,2013-10-05 02:00,0,比利亚雷亚尔,4,3-0,1-0,0,格拉那达,12,半球,半球,2.5,1
8,2013-10-05 04:00,0,马拉加,10,0-1,0-1,0,奥萨苏纳,19,平/半,平/半,2.5,1
8,2013-10-05 22:00,0,艾尔切,17,2-1,1-0,1,西班牙人,7,平手,平手,2/2.5,0.5/1
8,2013-10-05 23:59,0,巴列卡诺,20,1-0,0-0,0,皇家社会,13,平/半,平/半,2.5,1
8,2013-10-06 02:00,0,莱万特,9,2-3,0-0,0,皇家马德里,4,半球,半球,3/3.5,1/1.5
8,2013-10-06 04:00,0,巴塞罗那,1,4-1,1-1,0,瓦拉多利德,16,一/球半,一/球半,3.5/4,1.5/2
8,2013-10-06 18:00,0,马德里竞技,2,2-1,1-0,0,塞尔塔,15,半/一,半/一,3,1/1.5
8,2013-10-06 23:00,0,塞维利亚,14,2-1,1-1,0,阿尔梅里亚,19,半球,半球,3,1/1.5
8,2013-10-07 01:00,0,赫塔菲,8,3-1,3-0,0,皇家贝蒂斯,11,平手,平手,2.5,1
8,2013-10-07 03:00,0,毕尔巴鄂竞技,5,1-1,0-1,0,巴伦西亚,6,平/半,平/半,2.5,1
9,2013-10-19 22:00,0,皇家马德里,3,2-0,0-0,0,马拉加,10,半/一,半/一,3.5/4,1.5
9,2013-10-19 23:59,0,巴伦西亚,7,1-2,0-1,0,皇家社会,15,平/半,平/半,2.5/3,1
9,2013-10-20 02:00,0,奥萨苏纳,18,0-0,0-0,0,巴塞罗那,1,半/一,半/一,3/3.5,1.5
9,2013-10-20 04:00,0,西班牙人,8,1-0,0-0,0,马德里竞技,2,平/半,平/半,2.5,1
9,2013-10-20 18:00,1,格拉那达,15,0-2,0-0,0,赫塔菲,6,平/半,平/半,2/2.5,0.5/1
