赛季,排名,球队名称,红牌数量,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2012-2013,15,格拉那达,5,38,11,9,18,37,54,-17,0.289,0.237,0.474,0.97,1.42,42
2012-2013,16,奥萨苏纳,10,38,10,9,19,33,50,-17,0.263,0.237,0.5,0.87,1.32,39
2012-2013,17,塞尔塔,4,38,10,7,21,37,52,-15,0.263,0.184,0.553,0.97,1.37,37
2012-2013,18,马洛卡,8,38,9,9,20,43,72,-29,0.237,0.237,0.526,1.13,1.89,36
2012-2013,19,拉科鲁尼亚,8,38,8,11,19,47,70,-23,0.211,0.289,0.5,1.24,1.84,35
2012-2013,20,萨拉戈萨,10,38,9,7,22,37,62,-25,0.237,0.184,0.579,0.97,1.63,34
赛季,排名,球队名称,红牌数量,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2010-2011,1,巴塞罗那,2,38,30,6,2,95,21,74,0.789,0.158,0.053,2.5,0.55,96
2010-2011,2,皇家马德里,7,38,29,5,4,102,33,69,0.763,0.132,0.105,2.68,0.87,92
2010-2011,3,巴伦西亚,7,38,21,8,9,64,44,20,0.553,0.211,0.237,1.68,1.16,71
2010-2011,4,比利亚雷亚尔,4,38,18,8,12,54,44,10,0.474,0.211,0.316,1.42,1.16,62
2010-2011,5,马德里竞技,5,38,17,7,14,62,53,9,0.447,0.184,0.368,1.63,1.39,58
2010-2011,6,毕尔巴鄂竞技,7,38,18,4,16,59,55,4,0.474,0.105,0.421,1.55,1.45,58
2010-2011,7,塞维利亚,7,38,17,7,14,62,61,1,0.447,0.184,0.368,1.63,1.61,58
2010-2011,8,西班牙人,5,38,15,4,19,46,55,-9,0.395,0.105,0.5,1.21,1.45,49
2010-2011,9,奥萨苏纳,7,38,13,8,17,45,46,-1,0.342,0.211,0.447,1.18,1.21,47
2010-2011,10,希洪竞技,6,38,11,14,13,35,42,-7,0.289,0.368,0.342,0.92,1.11,47
2010-2011,11,马拉加,7,38,13,7,18,54,68,-14,0.342,0.184,0.474,1.42,1.79,46
2010-2011,12,桑坦德竞技,7,38,12,10,16,41,56,-15,0.316,0.263,0.421,1.08,1.47,46
