赛季,排名,球队名称,红牌数量,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2004-2005,15,奥萨苏纳,0,38,12,10,16,46,65,-19,0.316,0.263,0.421,1.21,1.71,46
2004-2005,16,桑坦德竞技,0,38,12,8,18,41,58,-17,0.316,0.211,0.474,1.08,1.53,44
2004-2005,17,马洛卡,0,38,10,9,19,42,63,-21,0.263,0.237,0.5,1.11,1.66,39
2004-2005,18,莱万特,0,38,9,10,19,39,58,-19,0.237,0.263,0.5,1.03,1.53,37
2004-2005,19,努曼西亚,0,38,6,11,21,30,61,-31,0.158,0.289,0.553,0.79,1.61,29
2004-2005,20,阿尔巴切特,0,38,6,10,22,33,56,-23,0.158,0.263,0.579,0.87,1.47,28
赛季,排名,球队名称,红牌数量,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2005-2006,1,巴塞罗那,0,38,25,7,6,80,35,45,0.658,0.184,0.158,2.11,0.92,82
2005-2006,2,皇家马德里,0,38,20,10,8,70,40,30,0.526,0.263,0.211,1.84,1.05,70
2005-2006,3,巴伦西亚,0,38,19,12,7,58,33,25,0.5,0.316,0.184,1.53,0.87,69
2005-2006,4,塞维利亚,0,38,20,8,10,54,39,15,0.526,0.211,0.263,1.42,1.03,68
2005-2006,5,奥萨苏纳,0,38,21,5,12,49,43,6,0.553,0.132,0.316,1.29,1.13,68
2005-2006,6,塞尔塔,0,38,20,4,14,45,33,12,0.526,0.105,0.368,1.18,0.87,64
2005-2006,7,比利亚雷亚尔,0,38,14,15,9,50,39,11,0.368,0.395,0.237,1.32,1.03,57
2005-2006,8,拉科鲁尼亚,0,38,15,10,13,47,45,2,0.395,0.263,0.342,1.24,1.18,55
2005-2006,9,赫塔菲,0,38,15,9,14,54,49,5,0.395,0.237,0.368,1.42,1.29,54
2005-2006,10,马德里竞技,0,38,13,13,12,45,37,8,0.342,0.342,0.316,1.18,0.97,52
2005-2006,11,萨拉戈萨,0,38,10,16,12,46,51,-5,0.263,0.421,0.316,1.21,1.34,46
2005-2006,12,毕尔巴鄂竞技,0,38,11,12,15,40,46,-6,0.289,0.316,0.395,1.05,1.21,45
2005-2006,13,马洛卡,0,38,10,13,15,37,51,-14,0.263,0.342,0.395,0.97,1.34,43
2005-2006,14,皇家贝蒂斯,0,38,10,12,16,34,51,-17,0.263,0.316,0.421,0.89,1.34,42
2005-2006,15,西班牙人,0,38,10,11,17,36,56,-20,0.263,0.289,0.447,0.95,1.47,41
2005-2006,16,桑坦德竞技,0,38,9,13,16,36,49,-13,0.237,0.342,0.421,0.95,1.29,40
2005-2006,17,皇家社会,0,38,11,7,20,48,65,-17,0.289,0.184,0.526,1.26,1.71,40
2005-2006,18,阿拉维斯,0,38,9,12,17,35,54,-19,0.237,0.316,0.447,0.92,1.42,39
2005-2006,19,卡迪斯,0,38,8,12,18,36,52,-16,0.211,0.316,0.474,0.95,1.37,36
2005-2006,20,马拉加,0,38,5,9,24,36,68,-32,0.132,0.237,0.632,0.95,1.79,24
赛季,排名,球队名称,红牌数量,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2007-2008,1,皇家马德里,6,38,27,4,7,84,36,48,0.711,0.105,0.184,2.21,0.95,85
2007-2008,2,比利亚雷亚尔,3,38,24,5,9,63,40,23,0.632,0.132,0.237,1.66,1.05,77
2007-2008,3,巴塞罗那,5,38,19,10,9,76,43,33,0.5,0.263,0.237,2.0,1.13,67
2007-2008,4,塞维利亚,10,38,20,4,14,75,49,26,0.526,0.105,0.368,1.97,1.29,64
2007-2008,5,马德里竞技,7,38,19,7,12,66,47,19,0.5,0.184,0.316,1.74,1.24,64
2007-2008,6,桑坦德竞技,7,38,17,9,12,42,41,1,0.447,0.237,0.316,1.11,1.08,60
2007-2008,7,马洛卡,10,38,15,14,9,69,54,15,0.395,0.368,0.237,1.82,1.42,59
2007-2008,8,拉科鲁尼亚,5,38,15,7,16,46,47,-1,0.395,0.184,0.421,1.21,1.24,52
2007-2008,9,阿尔梅里亚,8,38,14,10,14,42,45,-3,0.368,0.263,0.368,1.11,1.18,52
2007-2008,10,巴伦西亚,8,38,15,6,17,48,62,-14,0.395,0.158,0.447,1.26,1.63,51
2007-2008,11,毕尔巴鄂竞技,8,38,13,11,14,40,43,-3,0.342,0.289,0.368,1.05,1.13,50
2007-2008,12,西班牙人,5,38,13,9,16,43,53,-10,0.342,0.237,0.421,1.13,1.39,48
2007-2008,13,赫塔菲,9,38,12,11,15,44,48,-4,0.316,0.289,0.395,1.16,1.26,47
2007-2008,14,皇家贝蒂斯,5,38,12,11,15,45,51,-6,0.316,0.289,0.395,1.18,1.34,47
2007-2008,15,瓦拉多利德,6,38,11,12,15,42,57,-15,0.289,0.316,0.395,1.11,1.5,45
2007-2008,16,维尔瓦,12,38,11,11,16,40,60,-20,0.289,0.289,0.421,1.05,1.58,44
2007-2008,17,奥萨苏纳,10,38,12,7,19,37,44,-7,0.316,0.184,0.5,0.97,1.16,43
2007-2008,18,萨拉戈萨,9,38,10,12,16,50,61,-11,0.263,0.316,0.421,1.32,1.61,42
2007-2008,19,穆尔西亚,6,38,7,9,22,36,65,-29,0.184,0.237,0.579,0.95,1.71,30
2007-2008,20,莱万特,2,38,7,5,26,33,75,-42,0.184,0.132,0.684,0.87,1.97,26
赛季,排名,球队名称,红牌数量,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2008-2009,1,巴塞罗那,6,38,27,6,5,105,35,70,0.711,0.158,0.132,2.76,0.92,87
2008-2009,2,皇家马德里,9,38,25,3,10,83,52,31,0.658,0.079,0.263,2.18,1.37,78
2008-2009,3,塞维利亚,8,38,21,7,10,54,39,15,0.553,0.184,0.263,1.42,1.03,70
2008-2009,4,马德里竞技,6,38,20,7,11,80,57,23,0.526,0.184,0.289,2.11,1.5,67
2008-2009,5,比利亚雷亚尔,5,38,18,11,9,61,54,7,0.474,0.289,0.237,1.61,1.42,65
2008-2009,6,巴伦西亚,6,38,18,8,12,68,54,14,0.474,0.211,0.316,1.79,1.42,62
2008-2009,7,拉科鲁尼亚,4,38,16,10,12,48,47,1,0.421,0.263,0.316,1.26,1.24,58
2008-2009,8,马拉加,7,38,15,10,13,55,59,-4,0.395,0.263,0.342,1.45,1.55,55
2008-2009,9,马洛卡,7,38,14,9,15,53,60,-7,0.368,0.237,0.395,1.39,1.58,51
2008-2009,10,西班牙人,6,38,12,11,15,46,49,-3,0.316,0.289,0.395,1.21,1.29,47
2008-2009,11,桑坦德竞技,9,38,12,10,16,49,48,1,0.316,0.263,0.421,1.29,1.26,46
2008-2009,12,阿尔梅里亚,12,38,13,7,18,45,61,-16,0.342,0.184,0.474,1.18,1.61,46
2008-2009,13,毕尔巴鄂竞技,13,38,12,8,18,47,62,-15,0.316,0.211,0.474,1.24,1.63,44
2008-2009,14,奥萨苏纳,12,38,10,13,15,41,47,-6,0.263,0.342,0.395,1.08,1.24,43
2008-2009,15,瓦拉多利德,10,38,12,7,19,46,58,-12,0.316,0.184,0.5,1.21,1.53,43
2008-2009,16,希洪竞技,5,38,14,1,23,47,79,-32,0.368,0.026,0.605,1.24,2.08,43
2008-2009,17,赫塔菲,7,38,10,12,16,50,56,-6,0.263,0.316,0.421,1.32,1.47,42
2008-2009,18,皇家贝蒂斯,9,38,10,12,16,51,58,-7,0.263,0.316,0.421,1.34,1.53,42
2008-2009,19,努曼西亚,9,38,10,5,23,38,69,-31,0.263,0.132,0.605,1.0,1.82,35
2008-2009,20,维尔瓦,6,38,8,9,21,34,57,-23,0.211,0.237,0.553,0.89,1.5,33
