,轮次,时间,主队红牌,主队名称,主队名次,比分,半场比分,全场让球,半场让球,全场大小,半场大小,客队红牌,客队名称,客队名次,主队得分,客队得分,主队半场得分,客队半场得分,主队结果,比赛日期
40,5,2013-09-21 03:00,0,奥萨苏纳,20,2-1,1-0,平/半,平/半,2/2.5,1,0,艾尔切,15,2,1,1,0,2,20130921
41,5,2013-09-21 22:00,0,皇家社会,7,0-0,0-0,平/半,平/半,2.5/3,1,0,马拉加,10,0,0,0,0,0,20130921
42,5,2013-09-21 23:59,1,阿尔梅里亚,19,2-2,1-0,平/半,平/半,2.5,1,0,莱万特,9,2,2,1,0,0,20130921
43,5,2013-09-22 02:00,0,巴列卡诺,18,0-4,0-1,半/一,半/一,3/3.5,1/1.5,0,巴塞罗那,1,0,4,0,1,1,20130922
44,5,2013-09-22 04:00,0,瓦拉多利德,13,0-2,0-0,平/半,平/半,2.5,1,0,马德里竞技,2,0,2,0,0,1,20130922
45,5,2013-09-22 18:00,0,皇家贝蒂斯,11,0-0,0-0,平/半,平/半,2.5,1,0,格拉那达,12,0,0,0,0,0,20130922
46,5,2013-09-22 23:00,0,塞尔塔,10,0-0,0-0,平手,平手,2/2.5,1,0,比利亚雷亚尔,3,0,0,0,0,0,20130922
47,5,2013-09-23 01:00,0,皇家马德里,4,4-1,2-1,一球,一球,3.5/4,1.5,1,赫塔菲,13,4,1,2,1,2,20130923
48,5,2013-09-23 03:00,0,巴伦西亚,16,3-1,1-0,平/半,平/半,2.5,1,0,塞维利亚,20,3,1,1,0,2,20130923
49,5,2013-09-24 04:00,0,西班牙人,6,3-2,1-1,平手,平手,2.5,1,0,毕尔巴鄂竞技,5,3,2,1,1,2,20130924
50,6,2013-09-25 02:00,0,巴塞罗那,1,4-1,3-0,一球,一球,3.5/4,1.5/2,0,皇家社会,7,4,1,3,0,2,20130925
51,6,2013-09-25 02:00,0,莱万特,10,1-1,1-1,平/半,平/半,2/2.5,1,1,瓦拉多利德,14,1,1,1,1,0,20130925
52,6,2013-09-25 04:00,0,马拉加,11,2-0,0-0,平/半,平/半,2.5/3,1/1.5,0,阿尔梅里亚,16,2,0,0,0,2,20130925
53,6,2013-09-25 04:00,0,马德里竞技,2,2-1,2-1,半/一,半/一,3,1/1.5,0,奥萨苏纳,18,2,1,2,1,2,20130925
54,6,2013-09-26 02:00,0,格拉那达,13,0-1,0-0,平手,平手,2.5,1,0,巴伦西亚,10,0,1,0,0,1,20130926
55,6,2013-09-26 02:00,0,塞维利亚,20,4-1,1-0,半球,半球,2.5/3,1/1.5,2,巴列卡诺,19,4,1,1,0,2,20130926
56,6,2013-09-26 04:00,0,艾尔切,16,1-2,0-0,半球,半球,3/3.5,1.5,0,皇家马德里,3,1,2,0,0,1,20130926
57,6,2013-09-27 02:00,0,毕尔巴鄂竞技,6,2-1,0-0,平/半,平/半,2.5,1,0,皇家贝蒂斯,12,2,1,0,0,2,20130927
58,6,2013-09-27 04:00,0,赫塔菲,16,2-0,1-0,平/半,平/半,2/2.5,0.5/1,0,塞尔塔,10,2,0,1,0,2,20130927
59,6,2013-09-27 04:00,0,比利亚雷亚尔,4,2-1,1-0,平/半,平/半,2.5,1,0,西班牙人,5,2,1,1,0,2,20130927
60,7,2013-09-28 03:00,0,瓦拉多利德,15,2-2,0-1,平手,平手,2/2.5,0.5/1,0,马拉加,8,2,2,0,1,0,20130928
61,7,2013-09-28 22:00,0,巴伦西亚,8,1-0,1-0,半球,半球,2.5/3,1/1.5,0,巴列卡诺,20,1,0,1,0,2,20130928
62,7,2013-09-28 23:59,0,阿尔梅里亚,17,0-2,0-1,一球,一球,3.5/4,1.5,0,巴塞罗那,1,0,2,0,1,1,20130928
63,7,2013-09-29 02:00,0,皇家社会,12,1-1,0-1,平/半,平/半,2.5,1,1,塞维利亚,15,1,1,0,1,0,20130929
64,7,2013-09-29 04:00,0,皇家马德里,3,0-1,0-1,半球,半球,3/3.5,1.5,0,马德里竞技,2,0,1,0,1,1,20130929
65,7,2013-09-29 18:00,1,奥萨苏纳,19,0-1,0-0,平/半,平/半,2/2.5,0.5/1,0,莱万特,11,0,1,0,0,1,20130929
66,7,2013-09-29 23:00,0,塞尔塔,13,0-1,0-0,平/半,平/半,2/2.5,1,0,艾尔切,17,0,1,0,0,1,20130929
67,7,2013-09-30 01:00,0,西班牙人,7,0-2,0-0,平/半,平/半,2/2.5,1,0,赫塔菲,10,0,2,0,0,1,20130930
68,7,2013-09-30 03:00,0,皇家贝蒂斯,15,1-0,1-0,平手,平手,2.5,1,0,比利亚雷亚尔,4,1,0,1,0,2,20130930
69,7,2013-10-01 04:00,0,格拉那达,17,2-0,0-0,平手,平手,2.5,1,0,毕尔巴鄂竞技,5,2,0,0,0,2,20131001
70,8,2013-10-05 02:00,0,比利亚雷亚尔,4,3-0,1-0,半球,半球,2.5,1,0,格拉那达,12,3,0,1,0,2,20131005
71,8,2013-10-05 04:00,0,马拉加,10,0-1,0-1,平/半,平/半,2.5,1,0,奥萨苏纳,19,0,1,0,1,1,20131005
72,8,2013-10-05 22:00,0,艾尔切,17,2-1,1-0,平手,平手,2/2.5,0.5/1,1,西班牙人,7,2,1,1,0,2,20131005
73,8,2013-10-05 23:59,0,巴列卡诺,20,1-0,0-0,平/半,平/半,2.5,1,0,皇家社会,13,1,0,0,0,2,20131005
74,8,2013-10-06 02:00,0,莱万特,9,2-3,0-0,半球,半球,3/3.5,1/1.5,0,皇家马德里,4,2,3,0,0,1,20131006
75,8,2013-10-06 04:00,0,巴塞罗那,1,4-1,1-1,一/球半,一/球半,3.5/4,1.5/2,0,瓦拉多利德,16,4,1,1,1,2,20131006
76,8,2013-10-06 18:00,0,马德里竞技,2,2-1,1-0,半/一,半/一,3,1/1.5,0,塞尔塔,15,2,1,1,0,2,20131006
77,8,2013-10-06 23:00,0,塞维利亚,14,2-1,1-1,半球,半球,3,1/1.5,0,阿尔梅里亚,19,2,1,1,1,2,20131006
78,8,2013-10-07 01:00,0,赫塔菲,8,3-1,3-0,平手,平手,2.5,1,0,皇家贝蒂斯,11,3,1,3,0,2,20131007
79,8,2013-10-07 03:00,0,毕尔巴鄂竞技,5,1-1,0-1,平/半,平/半,2.5,1,0,巴伦西亚,6,1,1,0,1,0,20131007
80,9,2013-10-19 22:00,0,皇家马德里,3,2-0,0-0,半/一,半/一,3.5/4,1.5,0,马拉加,10,2,0,0,0,2,20131019
81,9,2013-10-19 23:59,0,巴伦西亚,7,1-2,0-1,平/半,平/半,2.5/3,1,0,皇家社会,15,1,2,0,1,1,20131019
82,9,2013-10-20 02:00,0,奥萨苏纳,18,0-0,0-0,半/一,半/一,3/3.5,1.5,0,巴塞罗那,1,0,0,0,0,0,20131020
83,9,2013-10-20 04:00,0,西班牙人,8,1-0,0-0,平/半,平/半,2.5,1,0,马德里竞技,2,1,0,0,0,2,20131020
84,9,2013-10-20 18:00,1,格拉那达,15,0-2,0-0,平/半,平/半,2/2.5,0.5/1,0,赫塔菲,6,0,2,0,0,1,20131020
85,9,2013-10-20 23:00,0,阿尔梅里亚,20,0-1,0-0,平/半,平/半,2.5/3,1,1,巴列卡诺,19,0,1,0,0,1,20131020
86,9,2013-10-21 01:00,0,皇家贝蒂斯,14,1-2,1-2,平/半,平/半,2.5,1,1,艾尔切,13,1,2,1,2,1,20131021
87,9,2013-10-21 03:00,0,瓦拉多利德,18,2-2,0-2,平手,平手,2.5,1,0,塞维利亚,12,2,2,0,2,0,20131021
88,9,2013-10-22 02:00,0,塞尔塔,19,0-1,0-0,平/半,平/半,2/2.5,0.5/1,0,莱万特,12,0,1,0,0,1,20131022
89,9,2013-10-22 04:00,0,毕尔巴鄂竞技,7,2-0,2-0,平手,平手,2.5,1,1,比利亚雷亚尔,4,2,0,2,0,2,20131022
90,10,2013-10-26 03:00,0,巴列卡诺,14,0-3,0-2,平/半,平/半,2.5,1,0,瓦拉多利德,17,0,3,0,2,1,20131026
91,10,2013-10-26 22:00,0,马拉加,14,0-5,0-2,平/半,平/半,2.5,1,0,塞尔塔,19,0,5,0,2,1,20131026
92,10,2013-10-26 23:59,0,巴塞罗那,1,2-1,1-0,平/半,平/半,3,1/1.5,0,皇家马德里,3,2,1,1,0,2,20131026
93,10,2013-10-27 02:00,0,艾尔切,10,0-1,0-1,平/半,平/半,2/2.5,0.5/1,0,格拉那达,17,0,1,0,1,1,20131027
94,10,2013-10-27 04:00,0,莱万特,9,3-0,2-0,平/半,平/半,2/2.5,0.5/1,0,西班牙人,7,3,0,2,0,2,20131027
95,10,2013-10-27 19:00,0,塞维利亚,12,2-1,0-0,半球,半球,2.5/3,1/1.5,1,奥萨苏纳,19,2,1,0,0,2,20131027
96,10,2013-10-27 23:59,0,比利亚雷亚尔,4,4-1,2-0,平手,平手,2.5/3,1,0,巴伦西亚,9,4,1,2,0,2,20131027
97,10,2013-10-28 02:00,0,皇家社会,13,3-0,1-0,平/半,平/半,2.5/3,1,0,阿尔梅里亚,20,3,0,1,0,2,20131028
98,10,2013-10-28 04:00,0,马德里竞技,2,5-0,1-0,半/一,半/一,3,1/1.5,0,皇家贝蒂斯,18,5,0,1,0,2,20131028
99,10,2013-10-29 05:00,0,赫塔菲,5,0-1,0-1,平手,平手,2/2.5,0.5/1,0,毕尔巴鄂竞技,6,0,1,0,1,1,20131029
100,11,2013-10-30 03:00,0,西班牙人,8,0-0,0-0,平手,平手,2/2.5,1,0,马拉加,16,0,0,0,0,0,20131030
101,11,2013-10-30 05:00,0,塞尔塔,15,0-3,0-1,半/一,半/一,3.5,1.5,0,巴塞罗那,1,0,3,0,1,1,20131030
